Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,1000,0,0,1,0.019211169,0.019177871,26.60516656,0.00704245271,-0.00704245271
Serial_vanilla,call,100,110,0.02,0.75,1,1000,0,0,1,0.008802837,0.008742847,26.60516656,0.00704245267,-0.00704245267
Serial,call,100,110,0.02,0.75,1,2500,0,0,1,0.100412951,0.100393962,26.61255089,0.0003418842997,0.0003418842997
Serial_vanilla,call,100,110,0.02,0.75,1,2500,0,0,1,0.032720798,0.032689742,26.61255089,0.0003418845846,0.0003418845846
Serial,call,100,110,0.02,0.75,1,5000,0,0,1,0.398109148,0.398080153,26.61359689,0.00138788449,0.00138788449
Serial_vanilla,call,100,110,0.02,0.75,1,5000,0,0,1,0.119083284,0.119046289,26.61359689,0.001387883561,0.001387883561
Serial,call,100,110,0.02,0.75,1,7500,0,0,1,0.884530483,0.884503344,26.61314373,0.0009347201089,0.0009347201089
Serial_vanilla,call,100,110,0.02,0.75,1,7500,0,0,1,0.264633609,0.264603928,26.61314373,0.0009347186812,0.0009347186812
Serial,call,100,110,0.02,0.75,1,10000,0,0,1,1.598732952,1.598717826,26.61279384,0.0005848302448,0.0005848302448
Serial_vanilla,call,100,110,0.02,0.75,1,10000,0,0,1,0.470526362,0.470488092,26.61279384,0.0005848301405,0.0005848301405
Serial,call,100,110,0.02,0.75,1,25000,0,0,1,9.958429944,9.958404245,26.61203461,0.0001744047233,-0.0001744047233
Serial_vanilla,call,100,110,0.02,0.75,1,25000,0,0,1,2.850505898,2.850470435,26.61203462,0.0001743878033,-0.0001743878033
Serial,call,100,110,0.02,0.75,1,50000,0,0,1,39.78227109,39.78224096,26.61227422,6.521374351e-05,6.521374351e-05
Serial_vanilla,call,100,110,0.02,0.75,1,50000,0,0,1,11.77784075,11.77781503,26.61227416,6.515102378e-05,6.515102378e-05
Serial,call,100,110,0.02,0.75,1,75000,0,0,1,90.06144867,90.06142311,26.61231947,0.0001104580644,0.0001104580644
Serial_vanilla,call,100,110,0.02,0.75,1,75000,0,0,1,25.67909106,25.67905753,26.61231958,0.0001105703948,0.0001105703948
Serial,call,100,110,0.02,0.75,1,100000,0,0,1,159.0106716,159.010641,26.61220901,4.005105581e-09,4.005105581e-09
Serial_vanilla,call,100,110,0.02,0.75,1,100000,0,0,1,45.53793263,45.5379178,26.61220901,5.771347844e-10,5.771347844e-10
OMP,call,100,110,0.02,0.75,1,1000,0,1,1,0.020825182,0.02077339,26.60516656,0.00704245271,-0.00704245271
OMP,call,100,110,0.02,0.75,1,1000,0,5,1,0.019555559,0.019535213,26.60516656,0.00704245271,-0.00704245271
OMP,call,100,110,0.02,0.75,1,1000,0,10,1,0.026243636,0.026212325,26.60516656,0.00704245271,-0.00704245271
OMP,call,100,110,0.02,0.75,1,1000,0,25,1,0.020860515,0.02082881,26.60516656,0.00704245271,-0.00704245271
OMP,call,100,110,0.02,0.75,1,1000,0,32,1,0.026790782,0.026760445,26.60516656,0.00704245271,-0.00704245271
OMP,call,100,110,0.02,0.75,1,1000,0,50,1,0.027141722,0.027122314,26.60516656,0.00704245271,-0.00704245271
OMP,call,100,110,0.02,0.75,1,1000,0,64,1,0.018833144,0.018817088,26.60516656,0.00704245271,-0.00704245271
OMP,call,100,110,0.02,0.75,1,1000,0,100,1,0.02220153,0.022179592,26.60516656,0.00704245271,-0.00704245271
OMP,call,100,110,0.02,0.75,1,1000,0,125,1,0.032623255,0.032604938,26.60516656,0.00704245271,-0.00704245271
OMP,call,100,110,0.02,0.75,1,2500,0,1,1,0.106944596,0.106906567,26.61255089,0.0003418842997,0.0003418842997
OMP,call,100,110,0.02,0.75,1,2500,0,5,1,0.087921548,0.087881932,26.61255089,0.0003418842997,0.0003418842997
OMP,call,100,110,0.02,0.75,1,2500,0,10,1,0.093996795,0.093977621,26.61255089,0.0003418842997,0.0003418842997
OMP,call,100,110,0.02,0.75,1,2500,0,25,1,0.091918531,0.091890889,26.61255089,0.0003418842997,0.0003418842997
OMP,call,100,110,0.02,0.75,1,2500,0,32,1,0.092553944,0.092530089,26.61255089,0.0003418842997,0.0003418842997
OMP,call,100,110,0.02,0.75,1,2500,0,50,1,0.090427447,0.090390672,26.61255089,0.0003418842997,0.0003418842997
OMP,call,100,110,0.02,0.75,1,2500,0,64,1,0.095200598,0.095181478,26.61255089,0.0003418842997,0.0003418842997
OMP,call,100,110,0.02,0.75,1,2500,0,100,1,0.089292638,0.089260954,26.61255089,0.0003418842997,0.0003418842997
OMP,call,100,110,0.02,0.75,1,2500,0,125,1,0.098152243,0.098114554,26.61255089,0.0003418842997,0.0003418842997
OMP,call,100,110,0.02,0.75,1,5000,0,1,1,0.388675101,0.388659455,26.61359689,0.00138788449,0.00138788449
OMP,call,100,110,0.02,0.75,1,5000,0,5,1,0.206472623,0.206432077,26.61359689,0.00138788449,0.00138788449
OMP,call,100,110,0.02,0.75,1,5000,0,10,1,0.203602862,0.203567508,26.61359689,0.00138788449,0.00138788449
OMP,call,100,110,0.02,0.75,1,5000,0,25,1,0.198880828,0.198842872,26.61359689,0.00138788449,0.00138788449
OMP,call,100,110,0.02,0.75,1,5000,0,32,1,0.198587472,0.198559164,26.61359689,0.00138788449,0.00138788449
OMP,call,100,110,0.02,0.75,1,5000,0,50,1,0.202406044,0.202382318,26.61359689,0.00138788449,0.00138788449
OMP,call,100,110,0.02,0.75,1,5000,0,64,1,0.201393502,0.201370184,26.61359689,0.00138788449,0.00138788449
OMP,call,100,110,0.02,0.75,1,5000,0,100,1,0.200830544,0.200806207,26.61359689,0.00138788449,0.00138788449
OMP,call,100,110,0.02,0.75,1,5000,0,125,1,0.210717516,0.210700762,26.61359689,0.00138788449,0.00138788449
OMP,call,100,110,0.02,0.75,1,7500,0,1,1,0.925061246,0.925026118,26.61314373,0.0009347201089,0.0009347201089
OMP,call,100,110,0.02,0.75,1,7500,0,5,1,0.310284888,0.310267356,26.61314373,0.0009347201089,0.0009347201089
OMP,call,100,110,0.02,0.75,1,7500,0,10,1,0.324053227,0.324021626,26.61314373,0.0009347201089,0.0009347201089
OMP,call,100,110,0.02,0.75,1,7500,0,25,1,0.312014363,0.311980565,26.61314373,0.0009347201089,0.0009347201089
OMP,call,100,110,0.02,0.75,1,7500,0,32,1,0.31000618,0.309982426,26.61314373,0.0009347201089,0.0009347201089
OMP,call,100,110,0.02,0.75,1,7500,0,50,1,0.318829304,0.318799834,26.61314373,0.0009347201089,0.0009347201089
OMP,call,100,110,0.02,0.75,1,7500,0,64,1,0.305566959,0.30554956,26.61314373,0.0009347201089,0.0009347201089
OMP,call,100,110,0.02,0.75,1,7500,0,100,1,0.311190892,0.311138988,26.61314373,0.0009347201089,0.0009347201089
OMP,call,100,110,0.02,0.75,1,7500,0,125,1,0.322723588,0.322692042,26.61314373,0.0009347201089,0.0009347201089
OMP,call,100,110,0.02,0.75,1,10000,0,1,1,1.614245336,1.614208709,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,5,1,0.430704969,0.430676839,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,10,1,0.419528811,0.419510523,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,25,1,0.422443579,0.422386548,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,32,1,0.424962878,0.424913094,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,50,1,0.414014073,0.413979817,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,64,1,0.423628291,0.423596306,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,100,1,0.425155823,0.425112693,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,10000,0,125,1,0.419312629,0.419265362,26.61279384,0.0005848302448,0.0005848302448
OMP,call,100,110,0.02,0.75,1,25000,0,1,1,9.913843806,9.913825211,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,5,1,2.30461659,2.304598546,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,10,1,1.293716052,1.293682784,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,25,1,1.077384627,1.077348317,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,32,1,1.070706103,1.070674455,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,50,1,1.062224691,1.062196183,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,64,1,1.070166952,1.070129532,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,100,1,1.077334745,1.077316794,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,25000,0,125,1,1.08635603,1.086327813,26.61203461,0.0001744047233,-0.0001744047233
OMP,call,100,110,0.02,0.75,1,50000,0,1,1,39.93161611,39.93159203,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,5,1,8.185379682,8.185355756,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,10,1,4.757679859,4.75764509,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,25,1,2.160771803,2.160723808,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,32,1,2.191923272,2.191894588,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,50,1,2.168413413,2.16839197,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,64,1,2.161997618,2.161972397,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,100,1,2.167202717,2.167172662,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,50000,0,125,1,2.17059413,2.170579892,26.61227422,6.521374351e-05,6.521374351e-05
OMP,call,100,110,0.02,0.75,1,75000,0,1,1,88.71082663,88.71080354,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,5,1,18.94514072,18.94512629,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,10,1,9.563159529,9.563121639,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,25,1,4.40366008,4.403617802,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,32,1,3.80389317,3.803864886,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,50,1,3.631093706,3.631049277,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,64,1,3.559892407,3.559848724,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,100,1,3.699596028,3.699558841,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,75000,0,125,1,3.603345659,3.603266801,26.61231947,0.0001104580644,0.0001104580644
OMP,call,100,110,0.02,0.75,1,100000,0,1,1,158.8505783,158.850535,26.61220901,4.005105581e-09,4.005105581e-09
OMP,call,100,110,0.02,0.75,1,100000,0,5,1,32.19997712,32.19994687,26.61220901,4.005105581e-09,4.005105581e-09
OMP,call,100,110,0.02,0.75,1,100000,0,10,1,16.38871012,16.38866521,26.61220901,4.005105581e-09,4.005105581e-09
OMP,call,100,110,0.02,0.75,1,100000,0,25,1,6.616529458,6.616484259,26.61220901,4.005105581e-09,4.005105581e-09
OMP,call,100,110,0.02,0.75,1,100000,0,32,1,5.958186962,5.958164192,26.61220901,4.005105581e-09,4.005105581e-09
OMP,call,100,110,0.02,0.75,1,100000,0,50,1,6.259558602,6.259535643,26.61220901,4.005105581e-09,4.005105581e-09
OMP,call,100,110,0.02,0.75,1,100000,0,64,1,5.773166432,5.773102792,26.61220901,4.005105581e-09,4.005105581e-09
OMP,call,100,110,0.02,0.75,1,100000,0,100,1,5.938009239,5.937979736,26.61220901,4.005105581e-09,4.005105581e-09
OMP,call,100,110,0.02,0.75,1,100000,0,125,1,5.937858149,5.93781358,26.61220901,4.005105581e-09,4.005105581e-09
MPI,call,100,110,0.02,0.75,1,1000,0,1,1,0.260038727,0.016234319,26.60516656,0.00704245271,-0.00704245271
MPI,call,100,110,0.02,0.75,1,1000,0,5,1,0.271306817,0.011879082,26.60516656,0.00704245271,-0.00704245271
MPI,call,100,110,0.02,0.75,1,1000,0,10,1,0.275353161,0.005522021,26.60516656,0.00704245271,-0.00704245271
MPI,call,100,110,0.02,0.75,1,1000,0,25,1,0.314965134,0.005023097,26.60516656,0.00704245271,-0.00704245271
MPI,call,100,110,0.02,0.75,1,1000,0,32,1,0.416549921,0.003196248,26.60516656,0.00704245271,-0.00704245271
MPI,call,100,110,0.02,0.75,1,1000,0,50,1,0.512264022,0.013320533,26.60516656,0.00704245271,-0.00704245271
MPI,call,100,110,0.02,0.75,1,1000,0,64,1,0.566756027,0.007108251,26.60516656,0.00704245271,-0.00704245271
MPI,call,100,110,0.02,0.75,1,1000,0,100,1,0.752158474,0.018344857,26.60516656,0.00704245271,-0.00704245271
MPI,call,100,110,0.02,0.75,1,1000,0,125,1,1.127972341,0.021582514,26.60516656,0.00704245271,-0.00704245271
MPI,call,100,110,0.02,0.75,1,2500,0,1,1,0.325863932,0.094293647,26.61255089,0.0003418842997,0.0003418842997
MPI,call,100,110,0.02,0.75,1,2500,0,5,1,0.281328773,0.032188496,26.61255089,0.0003418842997,0.0003418842997
MPI,call,100,110,0.02,0.75,1,2500,0,10,1,0.2818982,0.018178511,26.61255089,0.0003418842997,0.0003418842997
MPI,call,100,110,0.02,0.75,1,2500,0,25,1,0.323785877,0.015707286,26.61255089,0.0003418842997,0.0003418842997
MPI,call,100,110,0.02,0.75,1,2500,0,32,1,0.345219238,0.019315777,26.61255089,0.0003418842997,0.0003418842997
MPI,call,100,110,0.02,0.75,1,2500,0,50,1,0.476962273,0.010613938,26.61255089,0.0003418842997,0.0003418842997
MPI,call,100,110,0.02,0.75,1,2500,0,64,1,0.62896443,0.014895551,26.61255089,0.0003418842997,0.0003418842997
