Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
OMP,call,100,100,0.1,0.2,1,800000,0,32,4,1.220062293,1.220042843,11.92121156,0.02121156295,0.02121156295
OMP,call,100,100,0.1,0.2,1,800000,0,64,4,1.260221086,1.260202505,11.90778754,0.00778753516,0.00778753516
OMP,call,100,100,0.1,0.2,1,1000000,0,1,4,2.209819619,2.209796147,11.90213471,0.002134710955,0.002134710955
OMP,call,100,100,0.1,0.2,1,1000000,0,8,4,1.620304208,1.620265577,11.93938353,0.03938353271,0.03938353271
OMP,call,100,100,0.1,0.2,1,1000000,0,16,4,1.513262792,1.513240263,11.93094946,0.03094945613,0.03094945613
OMP,call,100,100,0.1,0.2,1,1000000,0,32,4,1.500747739,1.500730939,11.92722561,0.02722560831,0.02722560831
OMP,call,100,100,0.1,0.2,1,1000000,0,64,4,1.502904734,1.502888451,11.91993445,0.01993444855,0.01993444855
OMP,call,100,100,0.1,0.2,1,1600000,0,1,4,3.55436944,3.55433449,11.92054936,0.02054935747,0.02054935747
OMP,call,100,100,0.1,0.2,1,1600000,0,8,4,2.475158584,2.475130944,11.92836431,0.02836430648,0.02836430648
OMP,call,100,100,0.1,0.2,1,1600000,0,16,4,2.545345163,2.545312326,11.91450886,0.01450886229,0.01450886229
OMP,call,100,100,0.1,0.2,1,1600000,0,32,4,2.383872584,2.383850189,11.92881198,0.02881198039,0.02881198039
OMP,call,100,100,0.1,0.2,1,1600000,0,64,4,2.345001039,2.344965334,11.90311666,0.003116661494,0.003116661494
OMP,call,100,100,0.1,0.2,1,3200000,0,1,4,7.076965684,7.076949798,11.91480023,0.01480022906,0.01480022906
OMP,call,100,100,0.1,0.2,1,3200000,0,8,4,5.021761191,5.021712206,11.91533028,0.01533028119,0.01533028119
OMP,call,100,100,0.1,0.2,1,3200000,0,16,4,4.815022974,4.815004622,11.92141053,0.02141053102,0.02141053102
OMP,call,100,100,0.1,0.2,1,3200000,0,32,4,4.668036336,4.668020786,11.93127251,0.03127251247,0.03127251247
OMP,call,100,100,0.1,0.2,1,3200000,0,64,4,4.597533708,4.597514477,11.91382366,0.01382365818,0.01382365818
OMP,call,100,100,0.1,0.2,1,6400000,0,1,4,14.24124014,14.24120851,11.91922402,0.01922401519,0.01922401519
OMP,call,100,100,0.1,0.2,1,6400000,0,8,4,9.861232258,9.861184325,11.93764976,0.03764975608,0.03764975608
OMP,call,100,100,0.1,0.2,1,6400000,0,16,4,10.09449401,10.0944475,11.9166881,0.01668809743,0.01668809743
OMP,call,100,100,0.1,0.2,1,6400000,0,32,4,9.298260008,9.298228391,11.92418777,0.02418776993,0.02418776993
OMP,call,100,100,0.1,0.2,1,6400000,0,64,4,9.126381478,9.126353297,11.91629502,0.01629501709,0.01629501709
OMP,call,100,100,0.1,0.2,1,8000000,0,1,4,17.34010491,17.34007277,11.92440524,0.02440523966,0.02440523966
OMP,call,100,100,0.1,0.2,1,8000000,0,8,4,12.77804491,12.77800641,11.9152934,0.01529339509,0.01529339509
OMP,call,100,100,0.1,0.2,1,8000000,0,16,4,12.0322393,12.03220969,11.92425883,0.02425883,0.02425883
OMP,call,100,100,0.1,0.2,1,8000000,0,32,4,11.96070581,11.9606794,11.91785271,0.01785271197,0.01785271197
OMP,call,100,100,0.1,0.2,1,8000000,0,64,4,11.46173341,11.46170181,11.91725843,0.01725842665,0.01725842665
OMP,call,100,100,0.1,0.2,1,10000000,0,1,4,23.05786336,23.05783455,11.92081188,0.02081187601,0.02081187601
OMP,call,100,100,0.1,0.2,1,10000000,0,8,4,15.7605493,15.76052455,11.92403938,0.02403938395,0.02403938395
OMP,call,100,100,0.1,0.2,1,10000000,0,16,4,15.02525561,15.0252277,11.92473629,0.02473628889,0.02473628889
OMP,call,100,100,0.1,0.2,1,10000000,0,32,4,14.62180233,14.62178036,11.91546699,0.01546698886,0.01546698886
OMP,call,100,100,0.1,0.2,1,10000000,0,64,4,14.32264585,14.32262669,11.919425,0.01942499751,0.01942499751
OMP,call,100,100,0.1,0.2,1,16000000,0,1,4,36.30133743,36.30131616,11.91762652,0.01762651857,0.01762651857
OMP,call,100,100,0.1,0.2,1,16000000,0,8,4,25.09937687,25.09932964,11.92466944,0.0246694403,0.0246694403
OMP,call,100,100,0.1,0.2,1,16000000,0,16,4,23.85348975,23.85347188,11.91709512,0.01709512355,0.01709512355
OMP,call,100,100,0.1,0.2,1,16000000,0,32,4,23.55323111,23.55320604,11.92022302,0.02022301648,0.02022301648
OMP,call,100,100,0.1,0.2,1,16000000,0,64,4,24.00892443,24.00886833,11.92147937,0.02147937192,0.02147937192
OMP,call,100,100,0.1,0.2,1,32000000,0,1,4,74.36712757,74.36709551,11.92195157,0.021951572,0.021951572
