Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,call,100,110,0.02,0.75,1,75000000,0,1,6.857482228,6.857476987,26.60739585,-0.004813162758
OMP,call,100,110,0.02,0.75,1,75000000,0,5,1.443336495,1.443323786,26.60319456,-0.009014449267
OMP,call,100,110,0.02,0.75,1,75000000,0,10,0.743701245,0.743695067,26.62693992,0.01473090913
OMP,call,100,110,0.02,0.75,1,75000000,0,25,0.377205425,0.377180074,26.58080682,-0.03140219314
OMP,call,100,110,0.02,0.75,1,75000000,0,50,0.311753864,0.311747833,26.58620551,-0.02600350465
OMP,call,100,110,0.02,0.75,1,75000000,0,100,0.318083721,0.318078348,26.48092824,-0.1312807714
OMP,call,100,110,0.02,0.75,1,100000000,0,1,8.98816207,8.988155379,26.60218374,-0.01002527301
OMP,call,100,110,0.02,0.75,1,100000000,0,5,1.921176224,1.92116387,26.62644269,0.01423368044
OMP,call,100,110,0.02,0.75,1,100000000,0,10,0.970637229,0.970631354,26.65626714,0.04405812943
OMP,call,100,110,0.02,0.75,1,100000000,0,25,0.484634539,0.484628821,26.6141145,0.001905492939
OMP,call,100,110,0.02,0.75,1,100000000,0,50,0.42456858,0.424561706,26.64847173,0.03626271878
OMP,call,100,110,0.02,0.75,1,100000000,0,100,0.405523978,0.405518098,26.6499691,0.03776008728
MPI,call,100,110,0.02,0.75,1,1000000,0,1,0.197719093,0.077753536,26.64328317,0.03107415914
MPI,call,100,110,0.02,0.75,1,1000000,0,5,0.159670108,0.020753587,26.59667534,-0.01553366763
MPI,call,100,110,0.02,0.75,1,1000000,0,10,0.171584691,0.014097639,26.69314865,0.08093964459
MPI,call,100,110,0.02,0.75,1,1000000,0,25,0.217385181,0.005497357,26.7122725,0.1000634851
MPI,call,100,110,0.02,0.75,1,1000000,0,50,0.403467582,0.013505532,26.57474829,-0.03746072237
MPI,call,100,110,0.02,0.75,1,1000000,0,100,0.852024676,0.017719749,26.66470472,0.05249570529
MPI,call,100,110,0.02,0.75,1,2000000,0,1,0.297540472,0.177139871,26.68301946,0.07081045443
MPI,call,100,110,0.02,0.75,1,2000000,0,5,0.18520674,0.041570051,26.594437,-0.0177720138
MPI,call,100,110,0.02,0.75,1,2000000,0,10,0.193416538,0.026699283,26.62192134,0.009712331524
MPI,call,100,110,0.02,0.75,1,2000000,0,25,0.249163278,0.010699968,26.6103656,-0.001843407109
MPI,call,100,110,0.02,0.75,1,2000000,0,50,0.487617498,0.014423063,26.59120008,-0.02100892543
MPI,call,100,110,0.02,0.75,1,2000000,0,100,0.929645056,0.023151142,26.64029054,0.0280815345
MPI,call,100,110,0.02,0.75,1,5000000,0,1,0.585510798,0.46411905,26.64337507,0.03116605699
MPI,call,100,110,0.02,0.75,1,5000000,0,5,0.239806826,0.097784403,26.63846579,0.02625677801
