Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,call,100,100,0.1,0.2,1,50000000,0,64,78.13371096,78.13369758,11.91958528,0.01958527834
OMP,call,100,100,0.1,0.2,1,50000000,0,100,77.71960862,77.71958635,11.91955813,0.01955813068
OMP,call,100,100,0.1,0.2,1,50000000,0,125,77.69556118,77.69553291,11.92153243,0.02153242926
OMP,call,100,100,0.1,0.2,1,75000000,0,1,185.1530291,185.1530066,11.92127957,0.02127956657
OMP,call,100,100,0.1,0.2,1,75000000,0,5,128.7443805,128.7443596,11.92171158,0.02171158396
OMP,call,100,100,0.1,0.2,1,75000000,0,10,121.4869898,121.4869561,11.92104412,0.02104411706
OMP,call,100,100,0.1,0.2,1,75000000,0,25,118.5585105,118.5584864,11.91937407,0.01937406505
OMP,call,100,100,0.1,0.2,1,75000000,0,32,117.0205427,117.0205136,11.92218037,0.02218037229
OMP,call,100,100,0.1,0.2,1,75000000,0,50,116.8876404,116.8876278,11.92132392,0.02132391616
OMP,call,100,100,0.1,0.2,1,75000000,0,64,117.2034917,117.2034557,11.92065463,0.02065463388
OMP,call,100,100,0.1,0.2,1,75000000,0,100,116.1074057,116.1073853,11.92296025,0.02296024719
OMP,call,100,100,0.1,0.2,1,75000000,0,125,117.4551695,117.4551534,11.92034298,0.0203429847
OMP,call,100,100,0.1,0.2,1,100000000,0,1,244.3551493,244.3551362,11.92114476,0.02114475661
OMP,call,100,100,0.1,0.2,1,100000000,0,5,172.3502647,172.3502231,11.92018893,0.02018892896
OMP,call,100,100,0.1,0.2,1,100000000,0,10,161.2905248,161.2904969,11.92210992,0.02210991913
OMP,call,100,100,0.1,0.2,1,100000000,0,25,155.9004188,155.9003934,11.92026889,0.02026888542
OMP,call,100,100,0.1,0.2,1,100000000,0,32,156.5298034,156.5297835,11.92285194,0.02285193882
OMP,call,100,100,0.1,0.2,1,100000000,0,50,155.8114684,155.8114384,11.9195311,0.01953109713
OMP,call,100,100,0.1,0.2,1,100000000,0,64,155.8810136,155.8809956,11.92116887,0.02116887427
OMP,call,100,100,0.1,0.2,1,100000000,0,100,155.732598,155.7325675,11.9211297,0.02112969516
OMP,call,100,100,0.1,0.2,1,100000000,0,125,156.5114921,156.5114754,11.92293033,0.02293032797
MPI,call,100,100,0.1,0.2,1,1000000,0,1,2.549782902,2.426063983,11.94895338,0.04895337963
MPI,call,100,100,0.1,0.2,1,1000000,0,5,0.664281457,0.519170167,11.92650332,0.0265033179
MPI,call,100,100,0.1,0.2,1,1000000,0,10,0.428116337,0.27925577,11.92386155,0.02386154693
MPI,call,100,100,0.1,0.2,1,1000000,0,25,0.376342761,0.142864385,11.87153005,-0.02846994555
MPI,call,100,100,0.1,0.2,1,1000000,0,32,0.367499691,0.118687742,12.02872535,0.1287253454
MPI,call,100,100,0.1,0.2,1,1000000,0,50,0.584270508,0.138558858,12.05298302,0.1529830249
MPI,call,100,100,0.1,0.2,1,1000000,0,64,0.695810651,0.165334738,11.90564113,0.00564113424
MPI,call,100,100,0.1,0.2,1,1000000,0,100,0.990028128,0.124489928,11.90604896,0.0060489627
MPI,call,100,100,0.1,0.2,1,1000000,0,125,1.253033006,0.117896674,11.88707899,-0.01292100775
MPI,call,100,100,0.1,0.2,1,2000000,0,1,5.104694383,4.983718378,11.92056277,0.02056277039
MPI,call,100,100,0.1,0.2,1,2000000,0,5,1.181593785,1.036926973,11.92896326,0.02896326242
MPI,call,100,100,0.1,0.2,1,2000000,0,10,0.701736326,0.530608459,11.92458506,0.02458506497
MPI,call,100,100,0.1,0.2,1,2000000,0,25,0.514461019,0.284645097,11.91355511,0.01355510668
MPI,call,100,100,0.1,0.2,1,2000000,0,32,0.503799677,0.224603007,11.88732005,-0.01267994795
MPI,call,100,100,0.1,0.2,1,2000000,0,50,0.713691407,0.26244881,12.0119079,0.1119078961
MPI,call,100,100,0.1,0.2,1,2000000,0,64,0.789068172,0.267029386,11.90401714,0.00401714259
MPI,call,100,100,0.1,0.2,1,2000000,0,100,1.150571855,0.285913824,11.93401117,0.03401117401
MPI,call,100,100,0.1,0.2,1,2000000,0,125,1.435521534,0.246345064,11.87632459,-0.02367541369
MPI,call,100,100,0.1,0.2,1,5000000,0,1,12.42175007,12.29928008,11.92667862,0.02667862034
MPI,call,100,100,0.1,0.2,1,5000000,0,5,2.643071436,2.502506338,11.92420868,0.0242086751
MPI,call,100,100,0.1,0.2,1,5000000,0,10,1.431850255,1.270583892,11.90740172,0.007401720046
MPI,call,100,100,0.1,0.2,1,5000000,0,25,0.959615212,0.735770286,11.94862166,0.04862165909
MPI,call,100,100,0.1,0.2,1,5000000,0,32,0.817984576,0.559812396,11.96259865,0.06259865116
MPI,call,100,100,0.1,0.2,1,5000000,0,50,1.021334818,0.592970632,11.92951722,0.02951722256
MPI,call,100,100,0.1,0.2,1,5000000,0,64,1.092347662,0.536774056,11.79267478,-0.1073252201
MPI,call,100,100,0.1,0.2,1,5000000,0,100,1.488085274,0.599204541,11.98550619,0.08550619496
MPI,call,100,100,0.1,0.2,1,5000000,0,125,1.909649443,0.582559816,11.97305139,0.07305138561
MPI,call,100,100,0.1,0.2,1,10000000,0,1,24.59209786,24.46866067,11.92113758,0.0211375792
MPI,call,100,100,0.1,0.2,1,10000000,0,5,5.179327162,5.040023893,11.91404101,0.01404101059
MPI,call,100,100,0.1,0.2,1,10000000,0,10,2.707128835,2.543404122,11.93682607,0.03682607272
MPI,call,100,100,0.1,0.2,1,10000000,0,25,1.651359622,1.420811722,11.91253505,0.01253505016
MPI,call,100,100,0.1,0.2,1,10000000,0,32,1.388891417,1.122266579,11.91992077,0.01992077259
MPI,call,100,100,0.1,0.2,1,10000000,0,50,1.634046637,1.166920503,11.94092339,0.04092338815
MPI,call,100,100,0.1,0.2,1,10000000,0,64,1.549049511,1.028252483,11.92867222,0.02867221806
MPI,call,100,100,0.1,0.2,1,10000000,0,100,2.15180833,1.185241653,11.98444095,0.08444094946
MPI,call,100,100,0.1,0.2,1,10000000,0,125,2.308540641,1.011827346,11.9250248,0.02502479833
MPI,call,100,100,0.1,0.2,1,25000000,0,1,61.39125897,61.26952322,11.92401516,0.02401515793
MPI,call,100,100,0.1,0.2,1,25000000,0,5,12.86772235,12.72923931,11.92474054,0.02474053623
MPI,call,100,100,0.1,0.2,1,25000000,0,10,6.595093449,6.427770018,11.92799258,0.02799258308
MPI,call,100,100,0.1,0.2,1,25000000,0,25,3.797889511,3.57682065,11.92352346,0.02352345638
MPI,call,100,100,0.1,0.2,1,25000000,0,32,3.05445022,2.797388181,11.91244068,0.01244067925
MPI,call,100,100,0.1,0.2,1,25000000,0,50,3.452809913,3.022256415,11.939983,0.03998300126
MPI,call,100,100,0.1,0.2,1,25000000,0,64,3.484625937,3.019193706,11.90178889,0.001788892228
