Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,call,100,90,0.02,0.75,1,1024,500,2,0.10623426,0.10622091,21.15475428,-0.7252457158
OMP,call,100,90,0.02,0.75,1,1024,500,4,0.096347705,0.096333796,21.15658058,-0.7234194163
OMP,call,100,90,0.02,0.75,1,1024,500,8,0.093834962,0.093822319,21.3407353,-0.5392646978
OMP,call,100,90,0.02,0.75,1,1024,500,16,0.095857604,0.095831416,21.33999457,-0.5400054315
OMP,call,100,90,0.02,0.75,1,1024,500,32,0.093103713,0.093091179,21.34145329,-0.5385467057
OMP,call,100,90,0.02,0.75,1,1024,500,64,0.099391083,0.099381859,21.338647,-0.5413529982
OMP,call,100,90,0.02,0.75,1,1024,750,1,0.145845285,0.14583294,21.80575224,-0.07424775872
OMP,call,100,90,0.02,0.75,1,1024,750,2,0.141856101,0.141836213,22.40955656,0.5295565637
OMP,call,100,90,0.02,0.75,1,1024,750,4,0.143916154,0.143903244,22.41450472,0.5345047234
OMP,call,100,90,0.02,0.75,1,1024,750,8,0.139679623,0.139659234,22.41016388,0.5301638814
OMP,call,100,90,0.02,0.75,1,1024,750,16,0.153034234,0.153016622,22.7304291,0.8504291048
OMP,call,100,90,0.02,0.75,1,1024,750,32,0.149747089,0.149733868,22.72704208,0.8470420799
OMP,call,100,90,0.02,0.75,1,1024,750,64,0.153273172,0.153260546,22.72719209,0.847192091
OMP,call,100,90,0.02,0.75,1,1024,1000,1,0.200028991,0.20001466,21.84728982,-0.03271017809
OMP,call,100,90,0.02,0.75,1,1024,1000,2,0.18972484,0.189710867,22.438664,0.5586640044
OMP,call,100,90,0.02,0.75,1,1024,1000,4,0.186375518,0.186357708,22.43649186,0.55649186
OMP,call,100,90,0.02,0.75,1,1024,1000,8,0.202272266,0.202259675,19.35314112,-2.526858879
OMP,call,100,90,0.02,0.75,1,1024,1000,16,0.185698398,0.185685107,19.35238357,-2.527616434
OMP,call,100,90,0.02,0.75,1,1024,1000,32,0.189939374,0.189925128,19.35260856,-2.527391442
OMP,call,100,90,0.02,0.75,1,1024,1000,64,0.196255589,0.196238647,19.3540317,-2.525968301
OMP,call,100,90,0.02,0.75,1,8192,50,1,0.082716285,0.082692002,20.37114501,-1.508854986
OMP,call,100,90,0.02,0.75,1,8192,50,2,0.045051422,0.045037839,21.42529299,-0.4547070074
OMP,call,100,90,0.02,0.75,1,8192,50,4,0.028586679,0.028560317,21.06478049,-0.8152195101
OMP,call,100,90,0.02,0.75,1,8192,50,8,0.019192524,0.019169647,21.39545944,-0.4845405619
OMP,call,100,90,0.02,0.75,1,8192,50,16,0.019116647,0.019104528,21.29735279,-0.5826472101
OMP,call,100,90,0.02,0.75,1,8192,50,32,0.023503393,0.023495543,21.30199706,-0.5780029428
OMP,call,100,90,0.02,0.75,1,8192,50,64,0.021081053,0.021073851,21.31026919,-0.5697308083
OMP,call,100,90,0.02,0.75,1,8192,100,1,0.153926349,0.153917057,22.10273197,0.2227319727
OMP,call,100,90,0.02,0.75,1,8192,100,2,0.098361074,0.098344688,21.72902271,-0.1509772903
OMP,call,100,90,0.02,0.75,1,8192,100,4,0.048321465,0.048311289,21.45475394,-0.4252460599
OMP,call,100,90,0.02,0.75,1,8192,100,8,0.033249885,0.033237179,21.39282894,-0.4871710564
OMP,call,100,90,0.02,0.75,1,8192,100,16,0.027428754,0.027418873,21.47037295,-0.4096270495
OMP,call,100,90,0.02,0.75,1,8192,100,32,0.033204053,0.033193445,21.4648723,-0.4151276959
OMP,call,100,90,0.02,0.75,1,8192,100,64,0.042445064,0.042434884,21.46590166,-0.4140983445
OMP,call,100,90,0.02,0.75,1,8192,250,1,0.370388691,0.370372669,22.28049341,0.4004934074
OMP,call,100,90,0.02,0.75,1,8192,250,2,0.201700618,0.201690716,21.38391099,-0.4960890111
OMP,call,100,90,0.02,0.75,1,8192,250,4,0.111724701,0.111715868,20.32878657,-1.551213431
OMP,call,100,90,0.02,0.75,1,8192,250,8,0.064843311,0.064835222,21.17189566,-0.7081043376
OMP,call,100,90,0.02,0.75,1,8192,250,16,0.058659393,0.058646084,21.11905231,-0.7609476921
OMP,call,100,90,0.02,0.75,1,8192,250,32,0.067837513,0.067831874,21.11465959,-0.765340411
OMP,call,100,90,0.02,0.75,1,8192,250,64,0.076002382,0.075989662,21.11657778,-0.7634222165
OMP,call,100,90,0.02,0.75,1,8192,500,1,0.757311124,0.757304049,20.97094144,-0.9090585598
OMP,call,100,90,0.02,0.75,1,8192,500,2,0.393213997,0.393203491,22.2983571,0.4183570961
OMP,call,100,90,0.02,0.75,1,8192,500,4,0.211162484,0.211151713,21.51232522,-0.3676747838
OMP,call,100,90,0.02,0.75,1,8192,500,8,0.110487338,0.110474453,22.74923004,0.8692300401
OMP,call,100,90,0.02,0.75,1,8192,500,16,0.118005406,0.117994397,22.84418748,0.964187479
OMP,call,100,90,0.02,0.75,1,8192,500,32,0.137841963,0.137826883,22.84675164,0.966751639
OMP,call,100,90,0.02,0.75,1,8192,500,64,0.109985401,0.109973965,22.84613855,0.9661385515
OMP,call,100,90,0.02,0.75,1,8192,750,1,1.130436008,1.130426962,22.08233962,0.2023396182
OMP,call,100,90,0.02,0.75,1,8192,750,2,0.590253772,0.590241165,21.59541813,-0.2845818693
OMP,call,100,90,0.02,0.75,1,8192,750,4,0.314696667,0.314683187,21.74166589,-0.138334108
OMP,call,100,90,0.02,0.75,1,8192,750,8,0.177889246,0.177875714,21.53941405,-0.3405859522
OMP,call,100,90,0.02,0.75,1,8192,750,16,0.177515985,0.177506368,21.53141594,-0.3485840603
OMP,call,100,90,0.02,0.75,1,8192,750,32,0.153102783,0.153088408,20.39510379,-1.484896208
OMP,call,100,90,0.02,0.75,1,8192,750,64,0.173563976,0.173550093,20.39678219,-1.483217809
OMP,call,100,90,0.02,0.75,1,8192,1000,1,1.517917372,1.517904482,22.33551173,0.4555117344
OMP,call,100,90,0.02,0.75,1,8192,1000,2,0.784398617,0.784385827,21.85863221,-0.02136779091
OMP,call,100,90,0.02,0.75,1,8192,1000,4,0.410939475,0.410925214,21.60104037,-0.27895963
OMP,call,100,90,0.02,0.75,1,8192,1000,8,0.226044105,0.226030717,22.48045057,0.6004505699
