,Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
131,MPI,call,100,110,0.02,0.75,1,64000,0,8,1,11.20707054,10.87906785,26.61223708,0.000008672583803,-0.000008672583803
132,MPI,call,100,110,0.02,0.75,1,64000,0,16,1,5.90968922,5.5775619,26.61223708,0.000008672583803,-0.000008672583803
133,MPI,call,100,110,0.02,0.75,1,64000,0,32,1,3.31121867,2.908539459,26.61223708,0.000008672583807,-0.000008672583807
134,MPI,call,100,110,0.02,0.75,1,64000,0,64,1,3.594650109,2.954529557,26.61223708,0.000008672583803,-0.000008672583803
135,MPI,call,100,110,0.02,0.75,1,80000,0,1,1,103.1156049,102.8350622,26.61220685,0.00003889647725,-0.00003889647725
136,MPI,call,100,110,0.02,0.75,1,80000,0,8,1,17.2427311,16.93856276,26.61220685,0.00003889647725,-0.00003889647725
137,MPI,call,100,110,0.02,0.75,1,80000,0,16,1,8.955913496,8.610299872,26.61220685,0.00003889647725,-0.00003889647725
138,MPI,call,100,110,0.02,0.75,1,80000,0,32,1,4.849190487,4.424379908,26.61220685,0.00003889647725,-0.00003889647725
139,MPI,call,100,110,0.02,0.75,1,80000,0,64,1,5.058513185,4.46624499,26.61220685,0.00003889647724,-0.00003889647724
140,MPI,call,100,110,0.02,0.75,1,100000,0,1,1,161.0321292,160.7884711,26.61224575,0.000000002178389025,0.000000002178389025
141,MPI,call,100,110,0.02,0.75,1,100000,0,8,1,26.80119844,26.49210688,26.61224575,0.000000002178389025,0.000000002178389025
142,MPI,call,100,110,0.02,0.75,1,100000,0,16,1,13.80432184,13.46596551,26.61224575,0.000000002178389025,0.000000002178389025
143,MPI,call,100,110,0.02,0.75,1,100000,0,32,1,7.587749756,7.201919958,26.61224575,0.000000002178389025,0.000000002178389025
144,MPI,call,100,110,0.02,0.75,1,100000,0,64,1,7.004560349,6.430709236,26.61224575,0.000000002178385472,0.000000002178385472
145,Hybrid,call,100,110,0.02,0.75,1,100,0,1001,1,0.237171321,0.000195626,26.70698005,0.09473429551,0.09473429551
146,Hybrid,call,100,110,0.02,0.75,1,100,0,2002,1,0.289828665,0.000306452,26.70691146,0.09466571169,0.09466571169
147,Hybrid,call,100,110,0.02,0.75,1,100,0,4004,1,0.302807951,0.00070192,26.70698005,0.09473429551,0.09473429551
148,Hybrid,call,100,110,0.02,0.75,1,100,0,6006,1,0.308133768,0.005130451,26.70698005,0.09473429551,0.09473429551
149,Hybrid,call,100,110,0.02,0.75,1,100,0,8008,1,0.323315175,0.01242252,26.70698005,0.09473429551,0.09473429551
150,Hybrid,call,100,110,0.02,0.75,1,800,0,1001,1,0.245259695,0.009976858,26.61900432,0.00675856766,0.00675856766
151,Hybrid,call,100,110,0.02,0.75,1,800,0,2002,1,0.29383017,0.006173466,26.61900432,0.00675856766,0.00675856766
152,Hybrid,call,100,110,0.02,0.75,1,800,0,4004,1,0.311257747,0.008340858,26.61900432,0.00675856766,0.00675856766
153,Hybrid,call,100,110,0.02,0.75,1,800,0,6006,1,0.307175506,0.007400566,26.61900432,0.00675856766,0.00675856766
154,Hybrid,call,100,110,0.02,0.75,1,800,0,8008,1,0.324422777,0.013616019,26.61900432,0.00675856766,0.00675856766
155,Hybrid,call,100,110,0.02,0.75,1,1000,0,1001,1,0.310121076,0.016293082,26.60882645,0.00341930449,-0.00341930449
156,Hybrid,call,100,110,0.02,0.75,1,1000,0,2002,1,0.302360344,0.009427437,26.60882645,0.00341930449,-0.00341930449
157,Hybrid,call,100,110,0.02,0.75,1,1000,0,4004,1,0.322455641,0.010212981,26.60882645,0.00341930449,-0.00341930449
158,Hybrid,call,100,110,0.02,0.75,1,1000,0,6006,1,0.320690908,0.012740608,26.60882645,0.00341930449,-0.00341930449
159,Hybrid,call,100,110,0.02,0.75,1,1000,0,8008,1,0.328303724,0.017655214,26.60882645,0.00341930449,-0.00341930449
160,Hybrid,call,100,110,0.02,0.75,1,1600,0,1001,1,0.286560635,0.042960703,26.61872687,0.006481124526,0.006481124526
161,Hybrid,call,100,110,0.02,0.75,1,1600,0,2002,1,0.311058461,0.024125555,26.61872687,0.006481124526,0.006481124526
162,Hybrid,call,100,110,0.02,0.75,1,1600,0,4004,1,0.323766907,0.01585947,26.61872687,0.006481124526,0.006481124526
163,Hybrid,call,100,110,0.02,0.75,1,1600,0,6006,1,0.328762567,0.016399622,26.61872687,0.006481124526,0.006481124526
164,Hybrid,call,100,110,0.02,0.75,1,1600,0,8008,1,0.327880172,0.017016491,26.61872687,0.006481124526,0.006481124526
