,Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
83,OMP,call,100,110,0.02,0.75,1,100000,0,32,1,6.036947673,6.036919581,26.61224575,0.000000002178389025,0.000000002178389025
84,OMP,call,100,110,0.02,0.75,1,100000,0,64,1,6.08906305,6.089016441,26.61224575,0.000000002178389025,0.000000002178389025
85,MPI,call,100,110,0.02,0.75,1,100,0,1,1,0.252167934,0.000196326,26.70698005,0.09473429551,0.09473429551
86,MPI,call,100,110,0.02,0.75,1,100,0,8,1,0.320143352,0.001214574,26.70698005,0.09473429551,0.09473429551
87,MPI,call,100,110,0.02,0.75,1,100,0,16,1,0.335413224,0.000715017,26.70698005,0.09473429551,0.09473429551
88,MPI,call,100,110,0.02,0.75,1,100,0,32,1,0.370574246,0.002849334,26.70698005,0.09473429551,0.09473429551
89,MPI,call,100,110,0.02,0.75,1,100,0,64,1,0.608031735,0.002842455,26.70698005,0.09473429551,0.09473429551
90,MPI,call,100,110,0.02,0.75,1,800,0,1,1,0.245096097,0.010457852,26.61900432,0.00675856766,0.00675856766
91,MPI,call,100,110,0.02,0.75,1,800,0,8,1,0.310737565,0.003742835,26.61900432,0.00675856766,0.00675856766
92,MPI,call,100,110,0.02,0.75,1,800,0,16,1,0.345914451,0.001872483,26.61900432,0.00675856766,0.00675856766
93,MPI,call,100,110,0.02,0.75,1,800,0,32,1,0.386642501,0.002038811,26.61900432,0.00675856766,0.00675856766
94,MPI,call,100,110,0.02,0.75,1,800,0,64,1,0.620944547,0.008599422,26.61900432,0.00675856766,0.00675856766
95,MPI,call,100,110,0.02,0.75,1,1000,0,1,1,0.303992013,0.016302498,26.60882645,0.00341930449,-0.00341930449
96,MPI,call,100,110,0.02,0.75,1,1000,0,8,1,0.317167361,0.004148414,26.60882645,0.00341930449,-0.00341930449
97,MPI,call,100,110,0.02,0.75,1,1000,0,16,1,0.348402522,0.006646334,26.60882645,0.00341930449,-0.00341930449
98,MPI,call,100,110,0.02,0.75,1,1000,0,32,1,0.388774497,0.00889894,26.60882645,0.00341930449,-0.00341930449
99,MPI,call,100,110,0.02,0.75,1,1000,0,64,1,0.660615267,0.012358969,26.60882645,0.00341930449,-0.00341930449
100,MPI,call,100,110,0.02,0.75,1,1600,0,1,1,0.32331974,0.041791386,26.61872687,0.006481124526,0.006481124526
101,MPI,call,100,110,0.02,0.75,1,1600,0,8,1,0.326582443,0.012575365,26.61872687,0.006481124526,0.006481124526
102,MPI,call,100,110,0.02,0.75,1,1600,0,16,1,0.347223007,0.010508573,26.61872687,0.006481124526,0.006481124526
103,MPI,call,100,110,0.02,0.75,1,1600,0,32,1,0.392264439,0.008107919,26.61872687,0.006481124526,0.006481124526
104,MPI,call,100,110,0.02,0.75,1,1600,0,64,1,0.597709594,0.01227266,26.61872687,0.006481124526,0.006481124526
105,MPI,call,100,110,0.02,0.75,1,3200,0,1,1,0.398446619,0.162688887,26.61535275,0.003107003782,0.003107003782
106,MPI,call,100,110,0.02,0.75,1,3200,0,8,1,0.358875254,0.044360628,26.61535275,0.003107003782,0.003107003782
107,MPI,call,100,110,0.02,0.75,1,3200,0,16,1,0.368876823,0.023746692,26.61535275,0.003107003782,0.003107003782
108,MPI,call,100,110,0.02,0.75,1,3200,0,32,1,0.42594457,0.024231848,26.61535275,0.003107003782,0.003107003782
109,MPI,call,100,110,0.02,0.75,1,3200,0,64,1,0.617712178,0.025145037,26.61535275,0.003107003782,0.003107003782
110,MPI,call,100,110,0.02,0.75,1,6400,0,1,1,0.907654014,0.655694989,26.61230853,0.00006277959413,0.00006277959413
111,MPI,call,100,110,0.02,0.75,1,6400,0,8,1,0.441060216,0.122281785,26.61230853,0.00006277959413,0.00006277959413
112,MPI,call,100,110,0.02,0.75,1,6400,0,16,1,0.423902197,0.08895087,26.61230853,0.00006277959413,0.00006277959413
113,MPI,call,100,110,0.02,0.75,1,6400,0,32,1,0.439379834,0.074989137,26.61230853,0.00006277959413,0.00006277959413
114,MPI,call,100,110,0.02,0.75,1,6400,0,64,1,0.715599373,0.064357595,26.61230853,0.00006277959413,0.00006277959413
115,MPI,call,100,110,0.02,0.75,1,8000,0,1,1,1.334930142,1.045581341,26.61330534,0.001059591391,0.001059591391
116,MPI,call,100,110,0.02,0.75,1,8000,0,8,1,0.4927928,0.176539796,26.61330534,0.001059591391,0.001059591391
117,MPI,call,100,110,0.02,0.75,1,8000,0,16,1,0.439329425,0.098559274,26.61330534,0.001059591391,0.001059591391
118,MPI,call,100,110,0.02,0.75,1,8000,0,32,1,0.448518031,0.090470067,26.61330534,0.001059591391,0.001059591391
119,MPI,call,100,110,0.02,0.75,1,8000,0,64,1,0.691861368,0.064361472,26.61330534,0.001059591391,0.001059591391
120,MPI,call,100,110,0.02,0.75,1,10000,0,1,1,1.913880777,1.629274835,26.61316121,0.000915460068,0.000915460068
121,MPI,call,100,110,0.02,0.75,1,10000,0,8,1,0.577533652,0.263145412,26.61316121,0.000915460068,0.000915460068
122,MPI,call,100,110,0.02,0.75,1,10000,0,16,1,0.505576043,0.164522369,26.61316121,0.000915460068,0.000915460068
123,MPI,call,100,110,0.02,0.75,1,10000,0,32,1,0.492157783,0.12674818,26.61316121,0.000915460068,0.000915460068
124,MPI,call,100,110,0.02,0.75,1,10000,0,64,1,0.682022868,0.086785132,26.61316121,0.0009154600679,0.0009154600679
125,MPI,call,100,110,0.02,0.75,1,32000,0,1,1,16.66760826,16.42559465,26.61253166,0.0002859128362,0.0002859128362
126,MPI,call,100,110,0.02,0.75,1,32000,0,8,1,3.076062856,2.750605567,26.61253166,0.0002859128362,0.0002859128362
127,MPI,call,100,110,0.02,0.75,1,32000,0,16,1,1.713233706,1.364336489,26.61253166,0.0002859128362,0.0002859128362
128,MPI,call,100,110,0.02,0.75,1,32000,0,32,1,1.208655018,0.781443724,26.61253166,0.0002859128362,0.0002859128362
129,MPI,call,100,110,0.02,0.75,1,32000,0,64,1,1.32025726,0.726518247,26.61253166,0.0002859128362,0.0002859128362
130,MPI,call,100,110,0.02,0.75,1,64000,0,1,1,66.74229863,66.45966624,26.61223708,0.000008672583803,-0.000008672583803
