Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
OMP,call,100,110,0.02,0.75,1,6400,0,1,1,0.658292695,0.65827706,26.61230853,6.277959413e-05,6.277959413e-05
OMP,call,100,110,0.02,0.75,1,6400,0,8,1,0.253857919,0.25381043,26.61230853,6.277959413e-05,6.277959413e-05
OMP,call,100,110,0.02,0.75,1,6400,0,16,1,0.26689429,0.266872833,26.61230853,6.277959413e-05,6.277959413e-05
OMP,call,100,110,0.02,0.75,1,6400,0,32,1,0.27356171,0.273522467,26.61230853,6.277959413e-05,6.277959413e-05
OMP,call,100,110,0.02,0.75,1,6400,0,64,1,0.260275316,0.260236054,26.61230853,6.277959413e-05,6.277959413e-05
OMP,call,100,110,0.02,0.75,1,8000,0,1,1,1.031664589,1.031635049,26.61330534,0.001059591391,0.001059591391
OMP,call,100,110,0.02,0.75,1,8000,0,8,1,0.330818752,0.330787064,26.61330534,0.001059591391,0.001059591391
OMP,call,100,110,0.02,0.75,1,8000,0,16,1,0.330891556,0.330857786,26.61330534,0.001059591391,0.001059591391
OMP,call,100,110,0.02,0.75,1,8000,0,32,1,0.329443166,0.32938479,26.61330534,0.001059591391,0.001059591391
OMP,call,100,110,0.02,0.75,1,8000,0,64,1,0.327588277,0.327554186,26.61330534,0.001059591391,0.001059591391
OMP,call,100,110,0.02,0.75,1,10000,0,1,1,1.600455074,1.600419928,26.61316121,0.000915460068,0.000915460068
OMP,call,100,110,0.02,0.75,1,10000,0,8,1,0.417468855,0.41743932,26.61316121,0.000915460068,0.000915460068
OMP,call,100,110,0.02,0.75,1,10000,0,16,1,0.404538554,0.404504308,26.61316121,0.000915460068,0.000915460068
OMP,call,100,110,0.02,0.75,1,10000,0,32,1,0.419016518,0.418994759,26.61316121,0.000915460068,0.000915460068
OMP,call,100,110,0.02,0.75,1,10000,0,64,1,0.417946979,0.417887262,26.61316121,0.000915460068,0.000915460068
OMP,call,100,110,0.02,0.75,1,32000,0,1,1,16.39276712,16.39273134,26.61253166,0.0002859128362,0.0002859128362
OMP,call,100,110,0.02,0.75,1,32000,0,8,1,2.13834062,2.138299299,26.61253166,0.0002859128362,0.0002859128362
OMP,call,100,110,0.02,0.75,1,32000,0,16,1,1.384780844,1.384747197,26.61253166,0.0002859128362,0.0002859128362
OMP,call,100,110,0.02,0.75,1,32000,0,32,1,1.370565784,1.370536017,26.61253166,0.0002859128362,0.0002859128362
OMP,call,100,110,0.02,0.75,1,32000,0,64,1,1.386793601,1.386778858,26.61253166,0.0002859128362,0.0002859128362
OMP,call,100,110,0.02,0.75,1,64000,0,1,1,66.36917671,66.36916049,26.61223708,8.672583803e-06,-8.672583803e-06
OMP,call,100,110,0.02,0.75,1,64000,0,8,1,8.463828504,8.463790951,26.61223708,8.672583807e-06,-8.672583807e-06
OMP,call,100,110,0.02,0.75,1,64000,0,16,1,4.245721878,4.245685425,26.61223708,8.672583807e-06,-8.672583807e-06
OMP,call,100,110,0.02,0.75,1,64000,0,32,1,2.782760881,2.782731366,26.61223708,8.672583807e-06,-8.672583807e-06
OMP,call,100,110,0.02,0.75,1,64000,0,64,1,2.781657313,2.781612361,26.61223708,8.672583807e-06,-8.672583807e-06
OMP,call,100,110,0.02,0.75,1,80000,0,1,1,102.4304264,102.4304073,26.61220685,3.889647725e-05,-3.889647725e-05
OMP,call,100,110,0.02,0.75,1,80000,0,8,1,13.18982152,13.18978566,26.61220685,3.889647725e-05,-3.889647725e-05
OMP,call,100,110,0.02,0.75,1,80000,0,16,1,7.621070633,7.621024529,26.61220685,3.889647725e-05,-3.889647725e-05
OMP,call,100,110,0.02,0.75,1,80000,0,32,1,4.23458258,4.234561161,26.61220685,3.889647725e-05,-3.889647725e-05
OMP,call,100,110,0.02,0.75,1,80000,0,64,1,4.043614503,4.043580455,26.61220685,3.889647725e-05,-3.889647725e-05
OMP,call,100,110,0.02,0.75,1,100000,0,1,1,161.3564954,161.356446,26.61224575,2.178389025e-09,2.178389025e-09
OMP,call,100,110,0.02,0.75,1,100000,0,8,1,22.04424977,22.04419133,26.61224575,2.178389025e-09,2.178389025e-09
OMP,call,100,110,0.02,0.75,1,100000,0,16,1,11.88428905,11.88426952,26.61224575,2.178389025e-09,2.178389025e-09
OMP,call,100,110,0.02,0.75,1,100000,0,32,1,6.036947673,6.036919581,26.61224575,2.178389025e-09,2.178389025e-09
OMP,call,100,110,0.02,0.75,1,100000,0,64,1,6.08906305,6.089016441,26.61224575,2.178389025e-09,2.178389025e-09
