Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
OMP,call,100,110,0.02,0.75,1,2500,200,1,1,0.149242759,0.149215215,12.52480348,1.33519652,-1.33519652
OMP,call,100,110,0.02,0.75,1,2500,200,5,1,0.067776871,0.067751229,11.9250154,1.9349846,-1.9349846
OMP,call,100,110,0.02,0.75,1,2500,200,10,1,0.059774659,0.059740178,11.91971971,1.94028029,-1.94028029
OMP,call,100,110,0.02,0.75,1,2500,200,25,1,0.066631736,0.066612549,11.91686974,1.94313026,-1.94313026
OMP,call,100,110,0.02,0.75,1,2500,200,32,1,0.083794454,0.083761929,11.92638748,1.933612517,-1.933612517
OMP,call,100,110,0.02,0.75,1,2500,200,50,1,0.087082221,0.087053063,11.9240686,1.935931397,-1.935931397
OMP,call,100,110,0.02,0.75,1,2500,200,64,1,0.075121729,0.075086782,11.92633097,1.933669032,-1.933669032
OMP,call,100,110,0.02,0.75,1,2500,200,100,1,0.065092537,0.065054229,11.91460192,1.945398082,-1.945398082
OMP,call,100,110,0.02,0.75,1,2500,200,125,1,0.076861112,0.076828518,11.92121031,1.938789692,-1.938789692
OMP,call,100,110,0.02,0.75,1,2500,1000,1,1,0.699923507,0.699906383,12.90678201,0.9532179906,-0.9532179906
OMP,call,100,110,0.02,0.75,1,2500,1000,5,1,0.297534998,0.297498896,13.82687284,0.03312715796,-0.03312715796
OMP,call,100,110,0.02,0.75,1,2500,1000,10,1,0.299683514,0.299653,13.28699737,0.5730026271,-0.5730026271
OMP,call,100,110,0.02,0.75,1,2500,1000,25,1,0.302125064,0.302088955,13.28664397,0.5733560271,-0.5733560271
OMP,call,100,110,0.02,0.75,1,2500,1000,32,1,0.318313598,0.318278218,13.28758171,0.5724182878,-0.5724182878
OMP,call,100,110,0.02,0.75,1,2500,1000,50,1,0.319179297,0.31916124,13.28801377,0.5719862282,-0.5719862282
OMP,call,100,110,0.02,0.75,1,2500,1000,64,1,0.327844424,0.327810206,14.99900641,1.139006408,1.139006408
OMP,call,100,110,0.02,0.75,1,2500,1000,100,1,0.300466219,0.300446312,14.99895083,1.138950827,1.138950827
OMP,call,100,110,0.02,0.75,1,2500,1000,125,1,0.319306103,0.319284578,14.99833752,1.138337525,1.138337525
OMP,call,100,110,0.02,0.75,1,5000,200,1,1,0.291809782,0.291772861,12.80324536,1.056754644,-1.056754644
OMP,call,100,110,0.02,0.75,1,5000,200,5,1,0.073586832,0.073566107,13.45113174,0.4088682631,-0.4088682631
OMP,call,100,110,0.02,0.75,1,5000,200,10,1,0.061663458,0.061641907,13.4474242,0.4125758011,-0.4125758011
OMP,call,100,110,0.02,0.75,1,5000,200,25,1,0.065535378,0.065505266,13.44505123,0.4149487724,-0.4149487724
OMP,call,100,110,0.02,0.75,1,5000,200,32,1,0.067821538,0.067777775,13.44934929,0.4106507096,-0.4106507096
OMP,call,100,110,0.02,0.75,1,5000,200,50,1,0.069779795,0.069755752,13.44935999,0.4106400103,-0.4106400103
OMP,call,100,110,0.02,0.75,1,5000,200,64,1,0.077626598,0.077601318,13.45082493,0.4091750681,-0.4091750681
OMP,call,100,110,0.02,0.75,1,5000,200,100,1,0.075517682,0.075486552,13.56917629,0.2908237094,-0.2908237094
OMP,call,100,110,0.02,0.75,1,5000,200,125,1,0.068098664,0.068081301,13.5750193,0.2849807047,-0.2849807047
OMP,call,100,110,0.02,0.75,1,5000,1000,1,1,1.475427104,1.475410354,14.18578461,0.3257846067,0.3257846067
OMP,call,100,110,0.02,0.75,1,5000,1000,5,1,0.339356972,0.339318729,13.50269875,0.3573012473,-0.3573012473
OMP,call,100,110,0.02,0.75,1,5000,1000,10,1,0.314324694,0.314297892,15.7702255,1.9102255,1.9102255
OMP,call,100,110,0.02,0.75,1,5000,1000,25,1,0.349925239,0.349889816,15.77058059,1.910580593,1.910580593
OMP,call,100,110,0.02,0.75,1,5000,1000,32,1,0.338546383,0.338517675,15.76966721,1.909667209,1.909667209
OMP,call,100,110,0.02,0.75,1,5000,1000,50,1,0.328281789,0.32825982,13.80514757,0.0548524251,-0.0548524251
OMP,call,100,110,0.02,0.75,1,5000,1000,64,1,0.340173029,0.340154424,13.80573499,0.05426500739,-0.05426500739
OMP,call,100,110,0.02,0.75,1,5000,1000,100,1,0.313620918,0.313581265,13.80558279,0.05441721332,-0.05441721332
OMP,call,100,110,0.02,0.75,1,5000,1000,125,1,0.347253238,0.347231812,12.90899189,0.9510081055,-0.9510081055
OMP,call,100,110,0.02,0.75,1,7500,200,1,1,0.442889152,0.442845215,13.27391261,0.5860873876,-0.5860873876
OMP,call,100,110,0.02,0.75,1,7500,200,5,1,0.121304235,0.121277704,13.46282111,0.3971788913,-0.3971788913
OMP,call,100,110,0.02,0.75,1,7500,200,10,1,0.075027792,0.074995714,13.52083416,0.3391658379,-0.3391658379
OMP,call,100,110,0.02,0.75,1,7500,200,25,1,0.074601168,0.074574708,12.90680696,0.9531930421,-0.9531930421
OMP,call,100,110,0.02,0.75,1,7500,200,32,1,0.088488815,0.088445874,12.91245043,0.9475495731,-0.9475495731
OMP,call,100,110,0.02,0.75,1,7500,200,50,1,0.074096842,0.074049123,12.90718744,0.9528125569,-0.9528125569
OMP,call,100,110,0.02,0.75,1,7500,200,64,1,0.076415203,0.07637545,12.90763149,0.9523685129,-0.9523685129
OMP,call,100,110,0.02,0.75,1,7500,200,100,1,0.093568946,0.093543725,12.90745058,0.9525494169,-0.9525494169
OMP,call,100,110,0.02,0.75,1,7500,200,125,1,0.094698105,0.094667952,12.9087286,0.9512714029,-0.9512714029
OMP,call,100,110,0.02,0.75,1,7500,1000,1,1,2.158780559,2.158755021,13.25019377,0.60980623,-0.60980623
OMP,call,100,110,0.02,0.75,1,7500,1000,5,1,0.614739343,0.614708341,13.99694957,0.1369495749,0.1369495749
OMP,call,100,110,0.02,0.75,1,7500,1000,10,1,0.344374484,0.344342144,14.99421109,1.134211091,1.134211091
OMP,call,100,110,0.02,0.75,1,7500,1000,25,1,0.365961269,0.365922835,14.99391015,1.133910155,1.133910155
OMP,call,100,110,0.02,0.75,1,7500,1000,32,1,0.370924444,0.370894009,13.36001213,0.4999878652,-0.4999878652
OMP,call,100,110,0.02,0.75,1,7500,1000,50,1,0.343912322,0.343870679,13.35976151,0.5002384859,-0.5002384859
OMP,call,100,110,0.02,0.75,1,7500,1000,64,1,0.352583584,0.352547713,13.36039621,0.4996037881,-0.4996037881
OMP,call,100,110,0.02,0.75,1,7500,1000,100,1,0.341820152,0.341794884,13.86475405,0.004754046649,0.004754046649
OMP,call,100,110,0.02,0.75,1,7500,1000,125,1,0.358306459,0.358280007,13.86492525,0.004925247707,0.004925247707
OMP,call,100,110,0.02,0.75,1,10000,200,1,1,0.607567888,0.607538683,14.10198187,0.2419818679,0.2419818679
OMP,call,100,110,0.02,0.75,1,10000,200,5,1,0.158783104,0.158742654,12.96245061,0.8975493872,-0.8975493872
OMP,call,100,110,0.02,0.75,1,10000,200,10,1,0.070385771,0.070352207,13.14076166,0.7192383406,-0.7192383406
OMP,call,100,110,0.02,0.75,1,10000,200,25,1,0.085430475,0.085404043,13.1413041,0.7186958966,-0.7186958966
OMP,call,100,110,0.02,0.75,1,10000,200,32,1,0.074026548,0.074002607,13.1400075,0.7199925011,-0.7199925011
OMP,call,100,110,0.02,0.75,1,10000,200,50,1,0.086667723,0.086651077,12.87698542,0.9830145842,-0.9830145842
OMP,call,100,110,0.02,0.75,1,10000,200,64,1,0.079000835,0.078972786,12.87524816,0.984751835,-0.984751835
OMP,call,100,110,0.02,0.75,1,10000,200,100,1,0.090698239,0.090678483,12.87392338,0.9860766165,-0.9860766165
OMP,call,100,110,0.02,0.75,1,10000,200,125,1,0.089118046,0.089091869,12.8739797,0.9860203033,-0.9860203033
OMP,call,100,110,0.02,0.75,1,10000,1000,1,1,2.816442948,2.816422741,13.68477885,0.1752211543,-0.1752211543
OMP,call,100,110,0.02,0.75,1,10000,1000,5,1,0.606226652,0.606179042,12.8663374,0.9936626003,-0.9936626003
OMP,call,100,110,0.02,0.75,1,10000,1000,10,1,0.342041655,0.342006504,11.9805989,1.879401103,-1.879401103
OMP,call,100,110,0.02,0.75,1,10000,1000,25,1,0.342726468,0.342693349,14.47802494,0.6180249447,0.6180249447
OMP,call,100,110,0.02,0.75,1,10000,1000,32,1,0.344955276,0.344911585,14.47789442,0.6178944197,0.6178944197
OMP,call,100,110,0.02,0.75,1,10000,1000,50,1,0.315201912,0.315176655,14.47785343,0.6178534311,0.6178534311
OMP,call,100,110,0.02,0.75,1,10000,1000,64,1,0.315889652,0.31587179,12.49051823,1.369481772,-1.369481772
OMP,call,100,110,0.02,0.75,1,10000,1000,100,1,0.33075917,0.330744705,12.49025089,1.369749115,-1.369749115
OMP,call,100,110,0.02,0.75,1,10000,1000,125,1,0.34122251,0.341202743,12.49031944,1.369680562,-1.369680562
OMP,call,100,110,0.02,0.75,1,25000,200,1,1,1.466178266,1.466152634,13.31613225,0.5438677541,-0.5438677541
OMP,call,100,110,0.02,0.75,1,25000,200,5,1,0.323842875,0.323823288,13.98253035,0.1225303461,0.1225303461
OMP,call,100,110,0.02,0.75,1,25000,200,10,1,0.184258805,0.184229999,13.61116857,0.2488314347,-0.2488314347
OMP,call,100,110,0.02,0.75,1,25000,200,25,1,0.092356199,0.092328526,12.79030195,1.069698052,-1.069698052
OMP,call,100,110,0.02,0.75,1,25000,200,32,1,0.092452928,0.09241329,12.79214993,1.067850071,-1.067850071
OMP,call,100,110,0.02,0.75,1,25000,200,50,1,0.090727533,0.090712909,12.79125028,1.068749718,-1.068749718
OMP,call,100,110,0.02,0.75,1,25000,200,64,1,0.09062414,0.09060435,12.78999846,1.070001544,-1.070001544
OMP,call,100,110,0.02,0.75,1,25000,200,100,1,0.097424739,0.097400862,12.79060247,1.069397531,-1.069397531
OMP,call,100,110,0.02,0.75,1,25000,200,125,1,0.099195033,0.099163615,12.7898168,1.070183197,-1.070183197
OMP,call,100,110,0.02,0.75,1,25000,1000,1,1,7.188094687,7.188070842,13.56001105,0.2999889478,-0.2999889478
OMP,call,100,110,0.02,0.75,1,25000,1000,5,1,1.527353998,1.527302269,13.63334449,0.2266555128,-0.2266555128
OMP,call,100,110,0.02,0.75,1,25000,1000,10,1,0.913710776,0.913676152,13.57130232,0.2886976804,-0.2886976804
OMP,call,100,110,0.02,0.75,1,25000,1000,25,1,0.424937485,0.424903194,14.52294614,0.6629461438,0.6629461438
OMP,call,100,110,0.02,0.75,1,25000,1000,32,1,0.424782231,0.424727054,14.52300923,0.6630092308,0.6630092308
OMP,call,100,110,0.02,0.75,1,25000,1000,50,1,0.434504379,0.434482678,13.5183646,0.3416353981,-0.3416353981
OMP,call,100,110,0.02,0.75,1,25000,1000,64,1,0.432767033,0.432735981,13.5177395,0.342260503,-0.342260503
OMP,call,100,110,0.02,0.75,1,25000,1000,100,1,0.424628436,0.424606309,13.98116008,0.1211600816,0.1211600816
OMP,call,100,110,0.02,0.75,1,25000,1000,125,1,0.432950413,0.432930038,13.98079398,0.1207939844,0.1207939844
OMP,call,100,110,0.02,0.75,1,50000,200,1,1,2.852391689,2.852360455,13.58649363,0.2735063664,-0.2735063664
OMP,call,100,110,0.02,0.75,1,50000,200,5,1,0.639947192,0.639915215,13.58240105,0.2775989506,-0.2775989506
OMP,call,100,110,0.02,0.75,1,50000,200,10,1,0.336506995,0.336469681,13.73906936,0.1209306372,-0.1209306372
OMP,call,100,110,0.02,0.75,1,50000,200,25,1,0.176809313,0.176791781,13.49676315,0.363236846,-0.363236846
OMP,call,100,110,0.02,0.75,1,50000,200,32,1,0.170671701,0.170656184,12.91970447,0.940295527,-0.940295527
OMP,call,100,110,0.02,0.75,1,50000,200,50,1,0.145037766,0.145020557,12.51732079,1.342679211,-1.342679211
OMP,call,100,110,0.02,0.75,1,50000,200,64,1,0.144819181,0.144805371,12.51544388,1.344556116,-1.344556116
OMP,call,100,110,0.02,0.75,1,50000,200,100,1,0.145672499,0.145655934,12.51524212,1.344757883,-1.344757883
OMP,call,100,110,0.02,0.75,1,50000,200,125,1,0.147935943,0.147919209,12.51550439,1.344495609,-1.344495609
OMP,call,100,110,0.02,0.75,1,50000,1000,1,1,14.70707853,14.70706309,13.60741953,0.252580473,-0.252580473
OMP,call,100,110,0.02,0.75,1,50000,1000,5,1,3.010148969,3.010108909,13.89282095,0.03282094672,0.03282094672
OMP,call,100,110,0.02,0.75,1,50000,1000,10,1,1.533735556,1.533699869,13.42577867,0.4342213253,-0.4342213253
OMP,call,100,110,0.02,0.75,1,50000,1000,25,1,0.84620794,0.846173547,13.41591979,0.4440802112,-0.4440802112
OMP,call,100,110,0.02,0.75,1,50000,1000,32,1,0.771172837,0.771161358,14.64634876,0.7863487644,0.7863487644
OMP,call,100,110,0.02,0.75,1,50000,1000,50,1,0.703510289,0.703491199,15.16319618,1.303196178,1.303196178
OMP,call,100,110,0.02,0.75,1,50000,1000,64,1,0.682781577,0.682751543,13.9182879,0.05828790471,0.05828790471
OMP,call,100,110,0.02,0.75,1,50000,1000,100,1,0.721323717,0.72130852,12.34970978,1.510290217,-1.510290217
OMP,call,100,110,0.02,0.75,1,50000,1000,125,1,0.701289851,0.70127337,15.50919969,1.649199692,1.649199692
OMP,call,100,110,0.02,0.75,1,75000,200,1,1,4.232321741,4.232247725,13.72682387,0.1331761271,-0.1331761271
OMP,call,100,110,0.02,0.75,1,75000,200,5,1,0.891879691,0.891839249,13.81102063,0.04897937453,-0.04897937453
OMP,call,100,110,0.02,0.75,1,75000,200,10,1,0.479760742,0.479720553,14.22638704,0.3663870406,0.3663870406
OMP,call,100,110,0.02,0.75,1,75000,200,25,1,0.260737337,0.260713738,14.4333472,0.5733472006,0.5733472006
OMP,call,100,110,0.02,0.75,1,75000,200,32,1,0.228351051,0.228328582,14.62777239,0.7677723932,0.7677723932
OMP,call,100,110,0.02,0.75,1,75000,200,50,1,0.213734264,0.213706735,14.60966245,0.7496624491,0.7496624491
OMP,call,100,110,0.02,0.75,1,75000,200,64,1,0.207705006,0.20769009,13.62594974,0.2340502629,-0.2340502629
OMP,call,100,110,0.02,0.75,1,75000,200,100,1,0.204907925,0.204880633,13.90352104,0.04352103594,0.04352103594
OMP,call,100,110,0.02,0.75,1,75000,200,125,1,0.205490951,0.205478556,13.902882,0.04288200043,0.04288200043
OMP,call,100,110,0.02,0.75,1,75000,1000,1,1,21.3591638,21.35914548,13.78448091,0.0755190887,-0.0755190887
OMP,call,100,110,0.02,0.75,1,75000,1000,5,1,4.488688094,4.488662815,13.67738244,0.1826175571,-0.1826175571
OMP,call,100,110,0.02,0.75,1,75000,1000,10,1,2.401907996,2.401881117,13.87866744,0.01866744452,0.01866744452
OMP,call,100,110,0.02,0.75,1,75000,1000,25,1,1.2648896,1.264839773,13.78456791,0.07543209054,-0.07543209054
OMP,call,100,110,0.02,0.75,1,75000,1000,32,1,1.188284568,1.188266347,13.28614064,0.5738593625,-0.5738593625
OMP,call,100,110,0.02,0.75,1,75000,1000,50,1,1.050385906,1.05036154,14.21716164,0.3571616372,0.3571616372
OMP,call,100,110,0.02,0.75,1,75000,1000,64,1,0.979990294,0.979962252,13.265151,0.594849003,-0.594849003
OMP,call,100,110,0.02,0.75,1,75000,1000,100,1,0.990105038,0.990082248,13.02623763,0.8337623726,-0.8337623726
OMP,call,100,110,0.02,0.75,1,75000,1000,125,1,1.019330943,1.019307254,13.00959748,0.8504025238,-0.8504025238
OMP,call,100,110,0.02,0.75,1,100000,200,1,1,5.830709605,5.830684406,13.78591957,0.07408042704,-0.07408042704
OMP,call,100,110,0.02,0.75,1,100000,200,5,1,1.24800383,1.247970598,13.6669101,0.1930898989,-0.1930898989
OMP,call,100,110,0.02,0.75,1,100000,200,10,1,0.659155156,0.659114809,13.72940582,0.1305941849,-0.1305941849
OMP,call,100,110,0.02,0.75,1,100000,200,25,1,0.346412229,0.346395626,13.43735285,0.4226471547,-0.4226471547
OMP,call,100,110,0.02,0.75,1,100000,200,32,1,0.310293627,0.310274276,13.5850952,0.2749048025,-0.2749048025
OMP,call,100,110,0.02,0.75,1,100000,200,50,1,0.286418493,0.286395597,13.99449982,0.1344998162,0.1344998162
OMP,call,100,110,0.02,0.75,1,100000,200,64,1,0.266053283,0.266028856,15.06685787,1.206857875,1.206857875
OMP,call,100,110,0.02,0.75,1,100000,200,100,1,0.270538252,0.270522176,15.56570952,1.705709525,1.705709525
OMP,call,100,110,0.02,0.75,1,100000,200,125,1,0.268541712,0.268525047,15.58155665,1.721556649,1.721556649
OMP,call,100,110,0.02,0.75,1,100000,1000,1,1,28.99203871,28.99202527,13.75092698,0.1090730184,-0.1090730184
OMP,call,100,110,0.02,0.75,1,100000,1000,5,1,5.923298092,5.923261473,13.82468172,0.03531827625,-0.03531827625
OMP,call,100,110,0.02,0.75,1,100000,1000,10,1,3.126900654,3.126866304,13.66868357,0.1913164261,-0.1913164261
OMP,call,100,110,0.02,0.75,1,100000,1000,25,1,1.656729621,1.656693466,13.86168082,0.001680816833,0.001680816833
OMP,call,100,110,0.02,0.75,1,100000,1000,32,1,1.292938959,1.292904569,13.13784041,0.7221595906,-0.7221595906
OMP,call,100,110,0.02,0.75,1,100000,1000,50,1,1.239648029,1.239627415,14.05861662,0.1986166198,0.1986166198
OMP,call,100,110,0.02,0.75,1,100000,1000,64,1,1.253302628,1.253275491,15.75941113,1.899411127,1.899411127
OMP,call,100,110,0.02,0.75,1,100000,1000,100,1,1.31350917,1.313484462,13.78350023,0.07649976712,-0.07649976712
OMP,call,100,110,0.02,0.75,1,100000,1000,125,1,1.270019447,1.270001639,13.60211318,0.2578868188,-0.2578868188
OMP,call,100,110,0.02,0.75,1,250000,200,1,1,14.57384807,14.57381906,13.77090209,0.08909790817,-0.08909790817
OMP,call,100,110,0.02,0.75,1,250000,200,5,1,3.005881257,3.005860354,13.97610665,0.1161066482,0.1161066482
OMP,call,100,110,0.02,0.75,1,250000,200,10,1,1.54330866,1.543290089,13.68687878,0.1731212243,-0.1731212243
OMP,call,100,110,0.02,0.75,1,250000,200,25,1,0.798646652,0.798615318,13.00908876,0.8509112361,-0.8509112361
OMP,call,100,110,0.02,0.75,1,250000,200,32,1,0.668737266,0.668705603,13.72454152,0.1354584806,-0.1354584806
OMP,call,100,110,0.02,0.75,1,250000,200,50,1,0.638177693,0.638143333,13.44104384,0.4189561648,-0.4189561648
OMP,call,100,110,0.02,0.75,1,250000,200,64,1,0.639469175,0.639414711,13.48715938,0.3728406206,-0.3728406206
OMP,call,100,110,0.02,0.75,1,250000,200,100,1,0.619169791,0.619143719,12.9956811,0.8643188957,-0.8643188957
OMP,call,100,110,0.02,0.75,1,250000,200,125,1,0.639951282,0.639913823,12.78145591,1.078544095,-1.078544095
OMP,call,100,110,0.02,0.75,1,250000,1000,1,1,72.85745894,72.85743641,13.86378917,0.003789167989,0.003789167989
OMP,call,100,110,0.02,0.75,1,250000,1000,5,1,14.86662381,14.8666062,13.57005667,0.2899433308,-0.2899433308
OMP,call,100,110,0.02,0.75,1,250000,1000,10,1,7.58710788,7.587063177,13.4848112,0.3751887973,-0.3751887973
OMP,call,100,110,0.02,0.75,1,250000,1000,25,1,3.997817283,3.99779241,13.97682685,0.1168268475,0.1168268475
OMP,call,100,110,0.02,0.75,1,250000,1000,32,1,3.079193079,3.079152072,14.04240186,0.1824018593,0.1824018593
OMP,call,100,110,0.02,0.75,1,250000,1000,50,1,3.070739525,3.070721774,13.11114461,0.7488553861,-0.7488553861
OMP,call,100,110,0.02,0.75,1,250000,1000,64,1,3.366933957,3.366907842,13.79014989,0.06985011268,-0.06985011268
OMP,call,100,110,0.02,0.75,1,250000,1000,100,1,3.265140894,3.265105296,14.69504173,0.8350417325,0.8350417325
