Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
Serial,call,100,110,0.02,0.75,1,1000,200,0,0.04395093,0.043939875,15.81941633,1.959416331
Serial,call,100,110,0.02,0.75,1,1000,1000,0,0.194236233,0.194225788,13.98302299,0.1230229944
Serial,call,100,110,0.02,0.75,1,10000,200,0,0.374675143,0.374667588,13.38239193,-0.4776080691
Serial,call,100,110,0.02,0.75,1,10000,1000,0,1.84434941,1.844337676,13.14615621,-0.7138437886
Serial,call,100,110,0.02,0.75,1,25000,200,0,0.917699779,0.917686898,13.59114416,-0.2688558446
Serial,call,100,110,0.02,0.75,1,25000,1000,0,4.623973529,4.623961352,13.81482268,-0.04517732287
Serial,call,100,110,0.02,0.75,1,50000,200,0,1.83221589,1.832208978,13.8785963,0.01859630301
Serial,call,100,110,0.02,0.75,1,50000,1000,0,9.170548433,9.170540985,13.73210812,-0.1278918764
Serial,call,100,110,0.02,0.75,1,75000,200,0,2.782773541,2.782769062,13.63651808,-0.2234819184
Serial,call,100,110,0.02,0.75,1,75000,1000,0,13.9222781,13.92227062,13.68487566,-0.1751243408
Serial,call,100,110,0.02,0.75,1,100000,200,0,3.702504518,3.702476868,13.57044463,-0.2895553689
Serial,call,100,110,0.02,0.75,1,100000,1000,0,18.43612464,18.43611307,13.73200935,-0.1279906468
OMP,call,100,110,0.02,0.75,1,1000,200,1,0.041535198,0.041521105,14.66696664,0.8069666357
OMP,call,100,110,0.02,0.75,1,1000,200,5,0.037229655,0.037220702,14.65830041,0.7983004087
OMP,call,100,110,0.02,0.75,1,1000,200,10,0.039100967,0.039080875,14.64718724,0.7871872428
OMP,call,100,110,0.02,0.75,1,1000,200,25,0.039089494,0.039084021,14.66687319,0.8068731885
OMP,call,100,110,0.02,0.75,1,1000,200,32,0.04308693,0.043074872,14.66848883,0.8084888305
OMP,call,100,110,0.02,0.75,1,1000,200,50,0.039274243,0.039267752,14.67021255,0.8102125476
OMP,call,100,110,0.02,0.75,1,1000,200,64,0.040285504,0.040276599,14.66478513,0.8047851319
OMP,call,100,110,0.02,0.75,1,1000,200,100,0.043832456,0.043819665,14.66105464,0.8010546442
OMP,call,100,110,0.02,0.75,1,1000,200,125,0.042123603,0.042115888,14.66249062,0.802490621
OMP,call,100,110,0.02,0.75,1,1000,1000,1,0.189033262,0.189019955,13.40182926,-0.4581707395
OMP,call,100,110,0.02,0.75,1,1000,1000,5,0.185489013,0.185476683,13.40299472,-0.4570052814
OMP,call,100,110,0.02,0.75,1,1000,1000,10,0.190152658,0.19014072,13.40304555,-0.4569544538
OMP,call,100,110,0.02,0.75,1,1000,1000,25,0.188142031,0.18812987,13.40308257,-0.4569174329
OMP,call,100,110,0.02,0.75,1,1000,1000,32,0.192532548,0.19252279,13.40413898,-0.4558610228
OMP,call,100,110,0.02,0.75,1,1000,1000,50,0.19535987,0.195350758,12.74235313,-1.117646871
OMP,call,100,110,0.02,0.75,1,1000,1000,64,0.203434284,0.203421135,12.74270556,-1.117294444
OMP,call,100,110,0.02,0.75,1,1000,1000,100,0.196461038,0.196448274,12.74439644,-1.115603563
OMP,call,100,110,0.02,0.75,1,1000,1000,125,0.192956245,0.192943972,12.74396577,-1.116034233
OMP,call,100,110,0.02,0.75,1,10000,200,1,0.386645594,0.386636886,13.87947087,0.01947086634
OMP,call,100,110,0.02,0.75,1,10000,200,5,0.083207629,0.083197207,14.32999883,0.4699988261
OMP,call,100,110,0.02,0.75,1,10000,200,10,0.049132646,0.049126002,13.45112498,-0.4088750232
OMP,call,100,110,0.02,0.75,1,10000,200,25,0.053020598,0.053015734,13.45157924,-0.4084207631
OMP,call,100,110,0.02,0.75,1,10000,200,32,0.056970863,0.05695757,13.45141735,-0.4085826461
OMP,call,100,110,0.02,0.75,1,10000,200,50,0.055401346,0.05539008,13.45320101,-0.4067989901
OMP,call,100,110,0.02,0.75,1,10000,200,64,0.057849678,0.057842413,13.45422455,-0.4057754459
OMP,call,100,110,0.02,0.75,1,10000,200,100,0.060445598,0.060431963,13.45542522,-0.4045747753
OMP,call,100,110,0.02,0.75,1,10000,200,125,0.056611619,0.056604873,13.45183266,-0.4081673427
OMP,call,100,110,0.02,0.75,1,10000,1000,1,1.886627551,1.886617615,13.52466632,-0.3353336798
OMP,call,100,110,0.02,0.75,1,10000,1000,5,0.392393026,0.392382595,13.93955782,0.07955781534
OMP,call,100,110,0.02,0.75,1,10000,1000,10,0.226514794,0.22650274,12.92271261,-0.9372873866
