Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,call,100,110,0.02,0.75,1,25000,200,50,0.610243129,0.610235727,26.55415366,-0.05864018031
OMP,call,100,110,0.02,0.75,1,25000,200,64,0.575004199,0.574985061,26.85487351,0.242079675
OMP,call,100,110,0.02,0.75,1,25000,200,100,0.66019325,0.660184736,26.84024154,0.2274477016
OMP,call,100,110,0.02,0.75,1,25000,200,125,0.71327363,0.713261929,27.00421811,0.3914242681
OMP,call,100,110,0.02,0.75,1,25000,1000,1,3.079969026,3.079959831,26.9210173,0.3082234585
OMP,call,100,110,0.02,0.75,1,25000,1000,5,2.536727477,2.536712475,26.47724133,-0.1355525086
OMP,call,100,110,0.02,0.75,1,25000,1000,10,2.446283393,2.446273616,27.04649605,0.433702209
OMP,call,100,110,0.02,0.75,1,25000,1000,25,2.827460549,2.827452941,26.50746837,-0.1053254703
OMP,call,100,110,0.02,0.75,1,25000,1000,32,2.844720879,2.844706579,26.6570618,0.04426795845
OMP,call,100,110,0.02,0.75,1,25000,1000,50,3.014523074,3.014508717,26.55310257,-0.05969127469
OMP,call,100,110,0.02,0.75,1,25000,1000,64,2.967189012,2.967176079,27.18550844,0.5727146026
OMP,call,100,110,0.02,0.75,1,25000,1000,100,3.199080617,3.199068198,26.90706158,0.2942677433
OMP,call,100,110,0.02,0.75,1,25000,1000,125,3.542166187,3.542146158,26.23696448,-0.3758293613
OMP,call,100,110,0.02,0.75,1,50000,200,1,1.196388166,1.196376428,26.92467851,0.3118846685
OMP,call,100,110,0.02,0.75,1,50000,200,5,1.001172413,1.001152624,26.17089121,-0.4419026287
OMP,call,100,110,0.02,0.75,1,50000,200,10,0.974086986,0.974078589,26.47571124,-0.137082597
OMP,call,100,110,0.02,0.75,1,50000,200,25,1.14334421,1.143338848,26.99877581,0.3859819698
OMP,call,100,110,0.02,0.75,1,50000,200,32,1.004800675,1.004789842,26.60526212,-0.007531716273
OMP,call,100,110,0.02,0.75,1,50000,200,50,1.089357104,1.08935051,27.00353705,0.3907432056
OMP,call,100,110,0.02,0.75,1,50000,200,64,1.137151091,1.137138171,26.72581922,0.1130253829
OMP,call,100,110,0.02,0.75,1,50000,200,100,1.119489378,1.119476453,26.39010785,-0.2226859887
OMP,call,100,110,0.02,0.75,1,50000,200,125,1.141344541,1.141331197,27.36261751,0.7498236714
OMP,call,100,110,0.02,0.75,1,50000,1000,1,6.283570057,6.28355782,26.2760905,-0.3367033421
OMP,call,100,110,0.02,0.75,1,50000,1000,5,5.052180557,5.052167476,26.88622277,0.2734289284
OMP,call,100,110,0.02,0.75,1,50000,1000,10,4.938288381,4.938277001,26.70112052,0.088326681
OMP,call,100,110,0.02,0.75,1,50000,1000,25,5.669060013,5.66904693,26.43709321,-0.1757006272
OMP,call,100,110,0.02,0.75,1,50000,1000,32,5.897355227,5.897313842,27.09628105,0.4834872115
OMP,call,100,110,0.02,0.75,1,50000,1000,50,5.554489115,5.55447595,27.04396164,0.4311678036
OMP,call,100,110,0.02,0.75,1,50000,1000,64,5.599219103,5.599202008,26.58914841,-0.02364543243
OMP,call,100,110,0.02,0.75,1,50000,1000,100,5.619146487,5.61913346,27.13027446,0.5174806201
OMP,call,100,110,0.02,0.75,1,50000,1000,125,5.583542328,5.583529692,26.31057807,-0.3022157727
OMP,call,100,110,0.02,0.75,1,75000,200,1,1.879154503,1.87913476,26.5953413,-0.01745253773
OMP,call,100,110,0.02,0.75,1,75000,200,5,1.54721551,1.547208253,26.72275151,0.1099576673
OMP,call,100,110,0.02,0.75,1,75000,200,10,1.553405628,1.553392289,27.16362461,0.5508307657
OMP,call,100,110,0.02,0.75,1,75000,200,25,1.552455864,1.552448197,26.91000555,0.2972117141
OMP,call,100,110,0.02,0.75,1,75000,200,32,1.711246803,1.711241565,26.38824637,-0.2245474697
OMP,call,100,110,0.02,0.75,1,75000,200,50,1.613045903,1.613034772,26.52410595,-0.08868788737
OMP,call,100,110,0.02,0.75,1,75000,200,64,1.55333936,1.553321127,26.32524884,-0.2875450032
OMP,call,100,110,0.02,0.75,1,75000,200,100,1.630346505,1.630333857,26.68661319,0.07381935039
OMP,call,100,110,0.02,0.75,1,75000,200,125,1.658605103,1.658584958,26.56126639,-0.05152745178
OMP,call,100,110,0.02,0.75,1,75000,1000,1,9.569842964,9.569822789,26.46378261,-0.149011231
OMP,call,100,110,0.02,0.75,1,75000,1000,5,7.735740997,7.735727624,26.8894611,0.2766672604
OMP,call,100,110,0.02,0.75,1,75000,1000,10,7.356375395,7.356362809,26.03496266,-0.5778311824
OMP,call,100,110,0.02,0.75,1,75000,1000,25,7.627726773,7.627715646,26.87753312,0.2647392758
OMP,call,100,110,0.02,0.75,1,75000,1000,32,7.835512754,7.835499774,26.73525379,0.1224599482
OMP,call,100,110,0.02,0.75,1,75000,1000,50,7.639110682,7.639099084,26.84168722,0.2288933772
OMP,call,100,110,0.02,0.75,1,75000,1000,64,8.091206938,8.091186089,26.61219077,-0.0006030745843
OMP,call,100,110,0.02,0.75,1,75000,1000,100,8.140169255,8.140148708,26.64932133,0.03652748601
OMP,call,100,110,0.02,0.75,1,75000,1000,125,7.946171006,7.946157649,26.86742761,0.2546337711
OMP,call,100,110,0.02,0.75,1,100000,200,1,2.516688027,2.516674815,26.74981416,0.137020322
OMP,call,100,110,0.02,0.75,1,100000,200,5,2.034913375,2.034900701,26.79912908,0.1863352438
OMP,call,100,110,0.02,0.75,1,100000,200,10,1.998420975,1.998411475,26.33615158,-0.2766422556
OMP,call,100,110,0.02,0.75,1,100000,200,25,2.290880487,2.290871836,26.65516211,0.0423682653
OMP,call,100,110,0.02,0.75,1,100000,200,32,2.120348555,2.120329411,26.68883044,0.07603660317
OMP,call,100,110,0.02,0.75,1,100000,200,50,2.062453661,2.062445686,26.31112998,-0.3016638595
OMP,call,100,110,0.02,0.75,1,100000,200,64,2.074051942,2.07403944,26.56794557,-0.04484826798
OMP,call,100,110,0.02,0.75,1,100000,200,100,2.085279226,2.085269707,26.9217016,0.3089077605
OMP,call,100,110,0.02,0.75,1,100000,200,125,2.203041646,2.203022454,27.29142744,0.6786336009
OMP,call,100,110,0.02,0.75,1,100000,1000,1,12.91697051,12.91695745,26.62647593,0.01368209481
OMP,call,100,110,0.02,0.75,1,100000,1000,5,10.09590819,10.09590064,26.54288205,-0.0699117851
OMP,call,100,110,0.02,0.75,1,100000,1000,10,9.696355701,9.696344775,26.45615033,-0.1566435141
OMP,call,100,110,0.02,0.75,1,100000,1000,25,11.37613774,11.37612781,26.26939379,-0.3434000469
OMP,call,100,110,0.02,0.75,1,100000,1000,32,10.36232278,10.36230279,26.85212771,0.2393338669
OMP,call,100,110,0.02,0.75,1,100000,1000,50,10.42361189,10.42359873,26.82856222,0.2157683848
OMP,call,100,110,0.02,0.75,1,100000,1000,64,10.42714142,10.42712909,26.56604865,-0.04674518832
OMP,call,100,110,0.02,0.75,1,100000,1000,100,10.45156662,10.45155429,26.49923686,-0.1135569839
OMP,call,100,110,0.02,0.75,1,100000,1000,125,11.04631024,11.04629515,26.46152591,-0.1512679323
MPI,call,100,110,0.02,0.75,1,1000,200,1,0.13666067,0.019787194,28.1172797,1.504485864
MPI,call,100,110,0.02,0.75,1,1000,200,5,0.146577888,0.008229779,29.72398435,3.111190506
MPI,call,100,110,0.02,0.75,1,1000,200,10,0.156325448,0.004846258,28.03214706,1.419353224
MPI,call,100,110,0.02,0.75,1,1000,200,25,0.198447749,0.005457078,25.32409039,-1.288703449
MPI,call,100,110,0.02,0.75,1,1000,200,32,0.266177884,0.003857654,25.64163181,-0.971162033
MPI,call,100,110,0.02,0.75,1,1000,200,50,0.426523171,0.015758464,24.5168857,-2.095908136
MPI,call,100,110,0.02,0.75,1,1000,200,64,0.499230112,0.022768756,26.39645098,-0.2163428551
MPI,call,100,110,0.02,0.75,1,1000,200,100,0.845707062,0.033748672,25.07303968,-1.539754161
MPI,call,100,110,0.02,0.75,1,1000,200,125,1.264922065,0.05898143,24.13861877,-2.474175071
MPI,call,100,110,0.02,0.75,1,1000,1000,10,0.182056975,0.028471786,25.93939058,-0.6734032559
MPI,call,100,110,0.02,0.75,1,1000,1000,32,0.267956687,0.017047432,25.60384773,-1.008946109
MPI,call,100,110,0.02,0.75,1,1000,1000,50,0.464250791,0.05808045,26.19157422,-0.4212196161
MPI,call,100,110,0.02,0.75,1,1000,1000,64,0.632019648,0.085858885,24.49067711,-2.122116727
MPI,call,100,110,0.02,0.75,1,1000,1000,100,1.040741162,0.173581832,27.50830396,0.8955101216
MPI,call,100,110,0.02,0.75,1,1000,1000,125,1.404116177,0.206280628,27.58352103,0.9707271919
MPI,call,100,110,0.02,0.75,1,10000,200,1,0.356154885,0.235873688,27.28710267,0.6743088268
MPI,call,100,110,0.02,0.75,1,10000,200,5,0.193814048,0.055071972,27.65439977,1.041605934
MPI,call,100,110,0.02,0.75,1,10000,200,10,0.183621739,0.029722692,26.37282895,-0.2399648876
MPI,call,100,110,0.02,0.75,1,10000,200,25,0.238357268,0.017752593,26.03214499,-0.5806488471
MPI,call,100,110,0.02,0.75,1,10000,200,32,0.263856846,0.014544677,26.11292586,-0.4998679843
MPI,call,100,110,0.02,0.75,1,10000,200,50,0.409802008,0.036224622,26.72113855,0.1083447094
MPI,call,100,110,0.02,0.75,1,10000,200,64,0.629059112,0.088303778,26.9189541,0.3061602645
MPI,call,100,110,0.02,0.75,1,10000,200,100,0.978879036,0.052904196,27.29110886,0.6783150231
MPI,call,100,110,0.02,0.75,1,10000,200,125,1.341383909,0.079551448,25.74262061,-0.870173225
MPI,call,100,110,0.02,0.75,1,10000,1000,1,1.333709098,1.215428747,26.54746756,-0.06532627958
MPI,call,100,110,0.02,0.75,1,10000,1000,5,0.440705212,0.296842965,27.94217425,1.329380411
MPI,call,100,110,0.02,0.75,1,10000,1000,25,0.331804416,0.079064905,25.66648701,-0.9463068282
MPI,call,100,110,0.02,0.75,1,10000,1000,32,0.338088664,0.08587708,25.37998508,-1.232808759
MPI,call,100,110,0.02,0.75,1,10000,1000,50,0.535059582,0.135117549,27.15936119,0.54656735
MPI,call,100,110,0.02,0.75,1,10000,1000,64,0.621520334,0.136580013,25.93904482,-0.6737490246
MPI,call,100,110,0.02,0.75,1,10000,1000,100,1.088482414,0.178822886,27.30900459,0.6962107459
MPI,call,100,110,0.02,0.75,1,10000,1000,125,1.36309381,0.196095661,25.86319245,-0.7496013854
MPI,call,100,110,0.02,0.75,1,25000,200,1,0.743514707,0.624462768,26.82695563,0.2141617896
MPI,call,100,110,0.02,0.75,1,25000,200,5,0.282302396,0.137148978,27.10035502,0.4875611753
MPI,call,100,110,0.02,0.75,1,25000,200,10,0.251015449,0.092452596,26.50630752,-0.1064863209
MPI,call,100,110,0.02,0.75,1,25000,200,25,0.269791721,0.042813172,27.14026047,0.5274666338
MPI,call,100,110,0.02,0.75,1,25000,200,32,0.305605931,0.032712001,26.76532426,0.152530417
MPI,call,100,110,0.02,0.75,1,25000,200,50,0.476894797,0.056825202,26.58845272,-0.02434112082
MPI,call,100,110,0.02,0.75,1,25000,200,64,0.523565469,0.058718886,26.57644242,-0.03635142281
MPI,call,100,110,0.02,0.75,1,25000,200,100,0.977895571,0.077446969,26.45235059,-0.1604432534
MPI,call,100,110,0.02,0.75,1,25000,200,125,1.276384569,0.133954329,26.9593747,0.3465808588
MPI,call,100,110,0.02,0.75,1,25000,1000,1,3.236066498,3.111804981,26.52971315,-0.08308068503
MPI,call,100,110,0.02,0.75,1,25000,1000,5,0.758887402,0.621877545,27.13903688,0.5262430438
MPI,call,100,110,0.02,0.75,1,25000,1000,10,0.582533478,0.428468132,27.51923937,0.9064455308
MPI,call,100,110,0.02,0.75,1,25000,1000,25,0.429655953,0.222950387,27.60797458,0.9951807352
MPI,call,100,110,0.02,0.75,1,25000,1000,32,0.414425658,0.161975632,27.44257862,0.8297847814
MPI,call,100,110,0.02,0.75,1,25000,1000,125,1.502764894,0.396740444,26.81405911,0.2012652662
MPI,call,100,110,0.02,0.75,1,50000,200,1,1.315254606,1.194935452,26.31539924,-0.2973945984
MPI,call,100,110,0.02,0.75,1,50000,200,5,0.426263984,0.288276615,26.88065795,0.2678641145
MPI,call,100,110,0.02,0.75,1,50000,200,10,0.3232389,0.162096667,26.35639744,-0.2563964039
MPI,call,100,110,0.02,0.75,1,50000,200,25,0.298644718,0.077651306,26.59064533,-0.02214851429
MPI,call,100,110,0.02,0.75,1,50000,200,32,0.328297955,0.079892294,26.87802761,0.2652337749
MPI,call,100,110,0.02,0.75,1,50000,200,50,0.499950746,0.104920279,26.84767159,0.2348777494
MPI,call,100,110,0.02,0.75,1,50000,200,64,0.604453441,0.108129909,26.8339294,0.2211355643
MPI,call,100,110,0.02,0.75,1,50000,200,100,0.938221632,0.114309088,26.89429258,0.2814987352
MPI,call,100,110,0.02,0.75,1,50000,200,125,1.232930837,0.14862365,26.68406705,0.07127321042
MPI,call,100,110,0.02,0.75,1,50000,1000,1,6.230661187,6.109785168,26.48159904,-0.1311948018
MPI,call,100,110,0.02,0.75,1,50000,1000,5,1.448449166,1.310157254,26.96068397,0.3478901332
MPI,call,100,110,0.02,0.75,1,50000,1000,10,0.838792856,0.680424829,27.11034874,0.4975549021
MPI,call,100,110,0.02,0.75,1,50000,1000,25,0.585384013,0.344084743,27.21895224,0.6061583958
MPI,call,100,110,0.02,0.75,1,50000,1000,32,0.615264407,0.353106138,27.38549797,0.7727041274
MPI,call,100,110,0.02,0.75,1,50000,1000,50,0.813816577,0.423211362,27.0170422,0.4042483611
MPI,call,100,110,0.02,0.75,1,50000,1000,64,0.910607521,0.455659179,27.01383129,0.4010374549
MPI,call,100,110,0.02,0.75,1,50000,1000,100,1.400776428,0.529718141,26.92475134,0.3119575012
MPI,call,100,110,0.02,0.75,1,50000,1000,125,1.749474048,0.516764214,26.34490317,-0.2678906689
MPI,call,100,110,0.02,0.75,1,75000,200,1,2.015234658,1.89453473,26.52153437,-0.09125946803
MPI,call,100,110,0.02,0.75,1,75000,200,5,0.564781511,0.42053258,26.97993057,0.36713673
MPI,call,100,110,0.02,0.75,1,75000,200,10,0.392619177,0.220748843,26.25680679,-0.3559870495
MPI,call,100,110,0.02,0.75,1,75000,200,25,0.339069154,0.117809366,26.29244865,-0.3203451916
MPI,call,100,110,0.02,0.75,1,75000,200,32,0.361685161,0.100521449,26.45296857,-0.1598252743
MPI,call,100,110,0.02,0.75,1,75000,200,50,0.559231574,0.12641792,26.74751924,0.1347253991
MPI,call,100,110,0.02,0.75,1,75000,200,64,0.632470455,0.139463037,27.22346285,0.6106690143
MPI,call,100,110,0.02,0.75,1,75000,200,100,1.032381302,0.171807478,26.9435878,0.3307939575
MPI,call,100,110,0.02,0.75,1,75000,200,125,1.358520464,0.170613423,26.96458941,0.3517955695
MPI,call,100,110,0.02,0.75,1,75000,1000,1,9.614419033,9.494250644,26.37656306,-0.2362307804
MPI,call,100,110,0.02,0.75,1,75000,1000,5,2.13837747,1.994573101,26.68441516,0.07162131925
MPI,call,100,110,0.02,0.75,1,75000,1000,10,1.19081564,1.022440626,26.89768972,0.2848958808
