Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,call,100,110,0.02,0.75,1,50000,200,50,1.146013196,1.146004667,26.61511004,0.002316200626
OMP,call,100,110,0.02,0.75,1,50000,200,100,1.337066228,1.33705039,26.49867167,-0.1141221679
OMP,call,100,110,0.02,0.75,1,50000,1000,1,6.423903957,6.423895394,26.90633647,0.2935426325
OMP,call,100,110,0.02,0.75,1,50000,1000,5,5.099971593,5.099958012,26.40230687,-0.2104869707
OMP,call,100,110,0.02,0.75,1,50000,1000,10,5.56303607,5.563023383,26.90257635,0.2897825127
OMP,call,100,110,0.02,0.75,1,50000,1000,25,5.150806239,5.150793694,26.85036229,0.2375684516
OMP,call,100,110,0.02,0.75,1,50000,1000,50,5.656314404,5.656303472,26.14762712,-0.4651667236
OMP,call,100,110,0.02,0.75,1,50000,1000,100,5.763537412,5.763524704,26.9009461,0.2881522645
OMP,call,100,110,0.02,0.75,1,75000,200,1,1.954273052,1.954244604,26.83908853,0.2262946924
OMP,call,100,110,0.02,0.75,1,75000,200,5,1.58348926,1.583483241,26.60959077,-0.003203068464
OMP,call,100,110,0.02,0.75,1,75000,200,10,1.562108705,1.562100064,26.6041192,-0.008674642139
OMP,call,100,110,0.02,0.75,1,75000,200,25,1.816352448,1.816344565,26.75619039,0.1433965499
OMP,call,100,110,0.02,0.75,1,75000,200,50,1.722703439,1.722696112,26.65693098,0.04413713795
OMP,call,100,110,0.02,0.75,1,75000,200,100,1.673674016,1.673665536,26.77179536,0.1590015196
OMP,call,100,110,0.02,0.75,1,75000,1000,1,9.65873131,9.658718789,26.56266025,-0.05013358888
OMP,call,100,110,0.02,0.75,1,75000,1000,5,7.507715728,7.507699735,26.89092019,0.2781263543
OMP,call,100,110,0.02,0.75,1,75000,1000,10,7.323991394,7.323978454,27.03711933,0.4243254851
OMP,call,100,110,0.02,0.75,1,75000,1000,25,7.393265963,7.393252841,26.67399713,0.06120328655
OMP,call,100,110,0.02,0.75,1,75000,1000,50,8.055089406,8.055069778,26.8678424,0.2550485647
OMP,call,100,110,0.02,0.75,1,75000,1000,100,8.219194792,8.219172065,26.44569411,-0.1670997276
OMP,call,100,110,0.02,0.75,1,100000,200,1,2.488734916,2.488714679,26.79391353,0.1811196932
OMP,call,100,110,0.02,0.75,1,100000,200,5,2.108630857,2.108610026,26.70860461,0.09581077274
OMP,call,100,110,0.02,0.75,1,100000,200,10,2.010756064,2.010744376,26.331523,-0.2812708442
OMP,call,100,110,0.02,0.75,1,100000,200,25,2.273217547,2.273202303,26.4016272,-0.2111666366
OMP,call,100,110,0.02,0.75,1,100000,200,50,2.349107235,2.349097639,26.53726324,-0.0755306038
OMP,call,100,110,0.02,0.75,1,100000,200,100,2.235355183,2.235334893,26.95656402,0.3437701781
OMP,call,100,110,0.02,0.75,1,100000,1000,1,13.11149923,13.11147847,26.7023128,0.08951896335
OMP,call,100,110,0.02,0.75,1,100000,1000,5,10.13581952,10.13580491,26.2604886,-0.3523052378
OMP,call,100,110,0.02,0.75,1,100000,1000,10,9.821443853,9.821428781,26.20519719,-0.4075966467
OMP,call,100,110,0.02,0.75,1,100000,1000,25,10.11982605,10.1198116,26.61076082,-0.002033023461
OMP,call,100,110,0.02,0.75,1,100000,1000,50,10.69742456,10.69741151,26.8165697,0.2037758588
OMP,call,100,110,0.02,0.75,1,100000,1000,100,10.6718901,10.67186553,26.41653692,-0.1962569242
MPI,call,100,110,0.02,0.75,1,1000,200,1,0.144172479,0.022723596,32.27621259,5.663418754
MPI,call,100,110,0.02,0.75,1,1000,200,5,0.144153271,0.007791164,27.97646668,1.363672838
MPI,call,100,110,0.02,0.75,1,1000,200,10,0.162925811,0.005890993,26.56223576,-0.05055807661
MPI,call,100,110,0.02,0.75,1,1000,200,25,0.202187972,0.0040898,26.75844334,0.1456494964
MPI,call,100,110,0.02,0.75,1,1000,200,50,0.485191865,0.066382069,26.85947939,0.2466855515
MPI,call,100,110,0.02,0.75,1,1000,200,100,0.888156219,0.051225558,29.01770369,2.404909845
MPI,call,100,110,0.02,0.75,1,1000,1000,1,0.229593958,0.110494406,28.6667255,2.053931662
MPI,call,100,110,0.02,0.75,1,1000,1000,10,0.173960068,0.018830144,28.7569158,2.144121959
MPI,call,100,110,0.02,0.75,1,1000,1000,25,0.215500652,0.018103675,27.09831946,0.4855256203
MPI,call,100,110,0.02,0.75,1,1000,1000,50,0.499226635,0.088016116,26.99370318,0.3809093412
MPI,call,100,110,0.02,0.75,1,10000,200,1,0.372389665,0.250734858,26.58714321,-0.02565063431
MPI,call,100,110,0.02,0.75,1,10000,200,5,0.187941618,0.050348432,26.85779658,0.2450027383
MPI,call,100,110,0.02,0.75,1,10000,200,10,0.192062593,0.0307781,27.26177493,0.6489810934
MPI,call,100,110,0.02,0.75,1,10000,200,25,0.234766212,0.016760619,27.28144465,0.6686508147
MPI,call,100,110,0.02,0.75,1,10000,200,50,0.424701122,0.017795585,26.27812979,-0.334664051
MPI,call,100,110,0.02,0.75,1,10000,200,100,0.950339396,0.086506706,25.63595198,-0.9768418648
MPI,call,100,110,0.02,0.75,1,10000,1000,1,1.320767346,1.198798777,27.03487296,0.4220791187
MPI,call,100,110,0.02,0.75,1,10000,1000,5,0.40514329,0.267855429,27.72662029,1.113826453
MPI,call,100,110,0.02,0.75,1,10000,1000,10,0.294082223,0.133395768,27.36915646,0.7563626192
MPI,call,100,110,0.02,0.75,1,10000,1000,50,0.537208958,0.144668641,26.33013415,-0.282659689
