Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
OMP,put,100,110,0.02,0.75,1,1024,500,2,0.096542684,0.096522632,22.7237168,0.06371680245
OMP,put,100,110,0.02,0.75,1,1024,500,4,0.097099985,0.097080438,22.49898903,-0.1610109742
OMP,put,100,110,0.02,0.75,1,1024,500,8,0.0919738,0.09196105,22.50369117,-0.156308829
OMP,put,100,110,0.02,0.75,1,1024,500,16,0.093418787,0.093406389,22.49966705,-0.1603329536
OMP,put,100,110,0.02,0.75,1,1024,500,32,0.09812525,0.098104723,22.50369191,-0.156308088
OMP,put,100,110,0.02,0.75,1,1024,500,64,0.103840871,0.103824127,22.50007996,-0.159920041
OMP,put,100,110,0.02,0.75,1,1024,750,1,0.140542602,0.140530834,22.58569376,-0.07430623748
OMP,put,100,110,0.02,0.75,1,1024,750,2,0.137444504,0.137424543,22.51602092,-0.1439790814
OMP,put,100,110,0.02,0.75,1,1024,750,4,0.136282116,0.136272923,22.51371172,-0.146288279
OMP,put,100,110,0.02,0.75,1,1024,750,8,0.142910212,0.142899307,22.89618996,0.2361899641
OMP,put,100,110,0.02,0.75,1,1024,750,16,0.148428497,0.148418005,22.89749346,0.2374934638
OMP,put,100,110,0.02,0.75,1,1024,750,32,0.144773942,0.144760389,22.89806238,0.2380623796
OMP,put,100,110,0.02,0.75,1,1024,750,64,0.151434554,0.1514221,22.89819792,0.238197921
OMP,put,100,110,0.02,0.75,1,1024,1000,1,0.190489146,0.190482032,22.85750905,0.1975090506
OMP,put,100,110,0.02,0.75,1,1024,1000,2,0.187222714,0.187210592,22.96608093,0.3060809299
OMP,put,100,110,0.02,0.75,1,1024,1000,4,0.184637692,0.184625469,23.33674761,0.6767476147
OMP,put,100,110,0.02,0.75,1,1024,1000,8,0.184614066,0.184607351,23.3376589,0.6776589003
OMP,put,100,110,0.02,0.75,1,1024,1000,16,0.18422525,0.184212971,23.33779414,0.6777941372
OMP,put,100,110,0.02,0.75,1,1024,1000,32,0.186969656,0.186950362,23.33873092,0.6787309206
OMP,put,100,110,0.02,0.75,1,1024,1000,64,0.196577159,0.196558065,23.33933934,0.6793393392
OMP,put,100,110,0.02,0.75,1,8192,50,1,0.079885268,0.079873046,22.58796037,-0.07203962952
OMP,put,100,110,0.02,0.75,1,8192,50,2,0.049077963,0.049059147,22.33768056,-0.3223194404
OMP,put,100,110,0.02,0.75,1,8192,50,4,0.027977143,0.027963661,22.19357768,-0.4664223199
OMP,put,100,110,0.02,0.75,1,8192,50,8,0.021150701,0.021145568,23.02974308,0.3697430826
OMP,put,100,110,0.02,0.75,1,8192,50,16,0.018113723,0.018099609,23.07526209,0.4152620897
OMP,put,100,110,0.02,0.75,1,8192,50,32,0.020934776,0.020929237,23.05551374,0.3955137367
OMP,put,100,110,0.02,0.75,1,8192,50,64,0.020081756,0.020076779,23.07287866,0.412878656
