Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
Serial,call,100,90,0.02,0.75,1,1000000,0,0,0.098239539,0.098234534,33.77252579,0.002424514089
Serial,call,100,90,0.02,0.75,1,2000000,0,0,0.195290528,0.195279228,33.70376489,-0.06633638702
Serial,call,100,90,0.02,0.75,1,5000000,0,0,0.519030605,0.519023391,33.76251768,-0.007583604184
Serial,call,100,90,0.02,0.75,1,10000000,0,0,0.939790077,0.939783035,33.77331871,0.003217431739
Serial,call,100,90,0.02,0.75,1,25000000,0,0,2.389044549,2.389030045,33.79932636,0.02922508037
Serial,call,100,90,0.02,0.75,1,50000000,0,0,4.812971323,4.812964946,33.78243769,0.0123364113
Serial,call,100,90,0.02,0.75,1,100000000,0,0,9.540332822,9.540326453,33.76670025,-0.003401029406
OMP,call,100,90,0.02,0.75,1,1000000,0,1,0.098840252,0.098827866,33.63736133,-0.1327399455
OMP,call,100,90,0.02,0.75,1,1000000,0,2,0.057533093,0.057521944,33.71616472,-0.0539365551
OMP,call,100,90,0.02,0.75,1,1000000,0,4,0.031444223,0.031436426,33.92744976,0.1573484796
OMP,call,100,90,0.02,0.75,1,1000000,0,8,0.015954657,0.015938205,34.02900501,0.2589037332
OMP,call,100,90,0.02,0.75,1,1000000,0,16,0.013711313,0.013687989,34.19699785,0.426896571
OMP,call,100,90,0.02,0.75,1,1000000,0,32,0.011123563,0.011112425,34.3191721,0.5490708178
OMP,call,100,90,0.02,0.75,1,1000000,0,64,0.010794578,0.010776458,34.4657352,0.6956339203
OMP,call,100,90,0.02,0.75,1,2000000,0,1,0.185166699,0.185159311,33.82028823,0.05018695488
OMP,call,100,90,0.02,0.75,1,2000000,0,2,0.104647137,0.104634717,33.82253444,0.05243315527
OMP,call,100,90,0.02,0.75,1,2000000,0,4,0.06076014,0.060748793,33.78027753,0.01017624802
OMP,call,100,90,0.02,0.75,1,2000000,0,8,0.03069222,0.030685577,33.92009159,0.149990308
OMP,call,100,90,0.02,0.75,1,2000000,0,16,0.020254191,0.020236274,34.03047165,0.2603703736
OMP,call,100,90,0.02,0.75,1,2000000,0,32,0.013759765,0.013751171,34.20685853,0.4367572479
OMP,call,100,90,0.02,0.75,1,2000000,0,64,0.011487617,0.01147367,34.25114515,0.4810438732
OMP,call,100,90,0.02,0.75,1,5000000,0,1,0.466808247,0.46680131,33.82067214,0.05057085869
OMP,call,100,90,0.02,0.75,1,5000000,0,2,0.252012131,0.251998673,33.64620126,-0.1239000155
OMP,call,100,90,0.02,0.75,1,5000000,0,4,0.137423353,0.137399931,33.69738281,-0.07271847401
OMP,call,100,90,0.02,0.75,1,5000000,0,8,0.069933248,0.069919977,33.64817326,-0.1219280246
OMP,call,100,90,0.02,0.75,1,5000000,0,16,0.040057431,0.040050839,33.5912324,-0.1788688751
